endpoint,endpoint_string,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio,phecode_category
phecode_505,Oral cysts,64,60,73,62,87,94,92,94,127,132,0.0012764005504477373,0.0011967209845024634,0.0014560686147402015,0.0012367103504677558,0.001735418495172744,0.0018750872713490655,0.0018353016278327481,0.0018753117206982543,0.0025338174853357805,0.002633679169992019,2.0633641759776538,GI
phecode_612,"Breast conditions, congenital or relating to hormones",21,27,21,24,37,41,31,30,44,45,7.716616447416771e-4,9.922093194179038e-4,7.718318141723022e-4,8.820935019112026e-4,0.0013599441320248467,0.0015070205101815775,0.0011394964160999816,0.0011028600838173665,0.0016177065333284311,0.001654715940430226,2.144354266803246,Genitourinary
phecode_052-4,Infectious mononucleosis,19,13,19,14,12,25,20,20,35,41,3.8199400872554733e-4,2.6136957658128593e-4,3.820170500241274e-4,2.8149190710767064e-4,2.4129333226091852e-4,5.027146591594611e-4,4.022202558120827e-4,4.022202558120827e-4,7.038996038050802e-4,8.246178600160901e-4,2.1587193547021215,ID
phecode_106,Gynecological malignant neoplasms,317,333,343,396,401,410,361,459,509,686,0.011865548734840544,0.012465373961218837,0.012841151585489124,0.014825352850885404,0.015013103706476976,0.015350056158742045,0.013517561596644948,0.017189723616208522,0.01906367041198502,0.02569769619778985,2.165740225931084,Neoplasms
phecode_500-41,Impacted teeth*,70,62,72,85,87,91,109,102,122,154,0.0013998600139986002,0.0012399008079353653,0.0014399712005759885,0.0017000340006800136,0.001740034800696014,0.0018201092065523931,0.00218021802180218,0.0020403264522323573,0.0024404880976195238,0.003080801008262148,2.200792205973553,GI
phecode_619-1,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",71,54,62,80,70,69,80,84,108,158,0.002606939599779695,0.001983034042084389,0.002276984097836865,0.002938151902453357,0.0025710717696319696,0.0025343421729229413,0.002938691547588436,0.003085966201322557,0.003967816598699438,0.005805408583186361,2.2269056727194445,Genitourinary
phecode_380-21,Papilledema,13,7,10,8,8,11,13,17,17,29,0.00025874251139462214,1.3933398355858994e-4,1.9905647232119753e-4,1.5924834779839159e-4,1.5925151786602966e-4,2.1897955527243047e-4,2.588197817950147e-4,3.3846337627172634e-4,3.384701150798391e-4,5.774246859008821e-4,2.2316575764398476,Eye
phecode_107-3,Malignant neoplasm of the testis,10,11,17,11,14,21,19,20,18,23,4.375793112501641e-4,4.813372423751805e-4,7.439173814108174e-4,4.814004376367615e-4,6.127182808875662e-4,9.191981090781756e-4,8.317646543798975e-4,8.756950829721091e-4,7.881945964881552e-4,0.001007313975386502,2.302014627950773,Neoplasms
phecode_343-5,Horner's syndrome*,18,12,9,22,18,17,19,23,23,42,3.5832304813472946e-4,2.3888203208981965e-4,1.7917222432362485e-4,4.3800270765310186e-4,3.584015291798578e-4,3.3850381314589516e-4,3.7833532457188374e-4,4.5801222693510167e-4,4.580304689833715e-4,8.364367793200964e-4,2.3343091762425403,Neuro
phecode_054-5,Hepatitis E,6,10,11,6,12,9,11,14,10,15,1.1938872970391595e-4,1.9899705484358832e-4,2.1890547263681592e-4,1.1940773762139787e-4,2.3882498109302234e-4,1.7912230072644045e-4,2.1894468661053722e-4,2.7866796711717987e-4,1.9905251005215176e-4,2.9859065212198423e-4,2.50099530217374,ID
phecode_148-5,Benign neoplasm of cranial nerve,28,43,24,47,41,51,49,43,54,71,5.575689991636465e-4,8.563689954592527e-4,4.7798291211089203e-4,9.36068512248556e-4,8.166191965263808e-4,0.0010158148428474683,9.760178471834914e-4,8.565225185745872e-4,0.0010756757833509292,0.0014143989800390454,2.536724570700028,Neoplasms
phecode_135-1,Benign neoplasm of the oral cavity,92,104,125,126,128,129,131,160,181,238,0.0018349355778052574,0.0020742750009972474,0.002493168717713465,0.002513264451270595,0.0025532084654818184,0.002573206734221655,0.0026133099265879347,0.003192083632591174,0.0036112607489874504,0.004748698098525509,2.587937231129043,Neoplasms
phecode_106-1,Malignant neoplasm of external female genital organs and cervix,62,72,55,62,78,88,86,95,95,161,0.002305175490779298,0.002677276614732458,0.0020455221660220175,0.002306032879565573,0.0029013539651837525,0.0032734441840568387,0.0031990477253282744,0.0035339632467822333,0.0035342261904761905,0.005990251888231574,2.5986099159012324,Neoplasms
