endpoint,phecode_string,freq,phecode_category,delta,.lower,.upper,.width,.point,.interval,pos,highlight,endpoint_id
phecode_433-3,Cerebrovascular insufficiency,6.988314979881219e-4,Cardio,0.06486868197107942,0.026288609078864,0.10433777059147639,0.9999734466277217,median,qi,pos,NO,65
phecode_495,Abnormal findings on diagnostic imaging of lung,0.022470533657602005,Resp,0.06492827760795528,0.05993567498116937,0.06998126855992869,0.9999734466277217,median,qi,pos,NO,13
phecode_440-13,Phlebitis and thrombophlebitis,0.028798798982064066,Cardio,0.06497111970159875,0.05975284612657377,0.06871125447079955,0.9999734466277217,median,qi,pos,NO,66
phecode_416-71,Sick sinus syndrome*,0.0023495258139215377,Cardio,0.0654990273497843,0.04459156929350601,0.08318980158231465,0.9999734466277217,median,qi,pos,NO,67
phecode_100-12,Malignant neoplasm of the tongue,9.576808593244467e-4,Neoplasms,0.06550879226732015,0.036108630087621614,0.09383206207888746,0.9999734466277217,median,qi,pos,NO,100
phecode_416-211,Paroxysmal atrial fibrillation*,0.019144252129580795,Cardio,0.06551428860632824,0.060197734363932796,0.0708388880160631,0.9999734466277217,median,qi,pos,NO,68
phecode_585,Kidney stone disease,0.019989736321204273,Genitourinary,0.06559852960755902,0.060866046893725746,0.071795751313396,0.9999734466277217,median,qi,pos,NO,52
phecode_329-5,"Mild cognitive impairment, so stated",0.006212305181233703,Neuro,0.06562608878551834,0.056552389675705875,0.07135978094317022,0.9999734466277217,median,qi,pos,NO,30
phecode_055-1,Molluscum contagiosum,8.096164890562185e-4,ID,0.06564377760556844,0.04431416210706175,0.09426804217308228,0.9999734466277217,median,qi,pos,NO,9
phecode_413-42,Pulmonary valve insufficiency*,0.0018371413046290785,Cardio,0.0657022289018161,0.040315243846852936,0.0891736499564489,0.9999734466277217,median,qi,pos,NO,69
phecode_703-11,Gout,0.03408217793330304,Musc/Skel,0.06572079970951056,0.06320403596077312,0.0690280136492607,0.9999734466277217,median,qi,pos,NO,22
phecode_104-5,Gastrointestinal stromal tumor*,3.16451287399467e-4,Neoplasms,0.06573753068763388,0.018836612567425172,0.12811657823684286,0.9999734466277217,median,qi,pos,NO,101
phecode_055,Poxvirus,8.536439427180981e-4,ID,0.06576324514316201,0.042214586030656975,0.08568141863079602,0.9999734466277217,median,qi,pos,NO,10
phecode_369-62,Keratoconus,2.769056687969146e-4,Eye,0.06587286539511028,0.014649375035232384,0.11500825490706114,0.9999734466277217,median,qi,pos,NO,31
phecode_504-32,Chronic periodontitis,0.002156010602546127,GI,0.06614489687296371,0.036595203724923385,0.09291142554154229,0.9999734466277217,median,qi,pos,NO,33
phecode_703,Chrystal arthropathies,0.03689500402275614,Musc/Skel,0.0662372059043706,0.06238625641003291,0.0693176207983102,0.9999734466277217,median,qi,pos,NO,23
phecode_703-1,Hyperuricemia,0.034611634046129804,Musc/Skel,0.0664633809689047,0.06331933554438562,0.0701390227238612,0.9999734466277217,median,qi,pos,NO,24
phecode_208-2,Hyperparathyroidism,0.005668285702327306,Endo,0.06648195409664004,0.05496714948192153,0.07665257824156499,0.9999734466277217,median,qi,pos,NO,15
phecode_414,Cardiomyopathy,0.007477228259894014,Cardio,0.06660628285516951,0.05825494626234546,0.07875170713660316,0.9999734466277217,median,qi,pos,NO,70
phecode_369-51,Fuchs' dystrophy,0.0011488073905945128,Eye,0.06667613222503782,0.04646713661174649,0.09823536494845508,0.9999734466277217,median,qi,pos,NO,32
phecode_369,Noninflammatory disorders of the cornea,0.010562359120210087,Eye,0.06694477324056242,0.05797292251590348,0.07629343361493393,0.9999734466277217,median,qi,pos,NO,33
phecode_125,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue",6.411532794392895e-4,Neoplasms,0.06700748243361682,0.016608056973138576,0.10326504687035151,0.9999734466277217,median,qi,pos,NO,102
phecode_714-3,Scoliosis,0.007560688418472709,Musc/Skel,0.06710778246318072,0.05777883452333368,0.07643677094845122,0.9999734466277217,median,qi,pos,NO,25
phecode_200-3,Thyrotoxicosis [hyperthyroidism],0.008739387599082606,Endo,0.06724225948454343,0.05923712849185529,0.0752419527165838,0.9999734466277217,median,qi,pos,NO,16
phecode_343-6,Multi-system degeneration of the autonomic nervous system*,2.9655282222752966e-4,Neuro,0.06727705055025357,0.024082303737445833,0.10272038760568687,0.9999734466277217,median,qi,pos,NO,31
phecode_423-1,Cardiac murmurs,0.010652275832372536,Cardio,0.06729974964421359,0.060350407275602626,0.07478611844554572,0.9999734466277217,median,qi,pos,NO,71
phecode_374-37,Retinal arterial occlusions,0.0015213577520545299,Eye,0.06747495436537371,0.04478676749552755,0.09003912479688304,0.9999734466277217,median,qi,pos,NO,34
phecode_003,Escherichia coli,0.019407341813235137,ID,0.06754298142721499,0.06169673913681991,0.07497965921349585,0.9999734466277217,median,qi,pos,NO,11
phecode_374-38,Retinal vein occlusions,0.005285256308016205,Eye,0.06758350351182463,0.05881995081550269,0.07570760107043668,0.9999734466277217,median,qi,pos,NO,35
phecode_200-14,"Hypothyroidism, not specified as secondary",0.042653568738326916,Endo,0.06774156256336877,0.0627291031321694,0.07136437879235022,0.9999734466277217,median,qi,pos,NO,17
phecode_208,Disorders of parathyroid gland,0.005887266717305534,Endo,0.0677434433544718,0.055689700147381845,0.07831894290370475,0.9999734466277217,median,qi,pos,NO,18
phecode_705,Rheumatoid arthritis and other inflammatory polyarthropathies,0.030066404826497146,Musc/Skel,0.06781272213102213,0.06412331312949492,0.07116352863627168,0.9999734466277217,median,qi,pos,NO,26
phecode_668-4,Dermatitis due to substances taken internally,0.002163415567030025,Derm,0.06784224967917057,0.05024574465581361,0.08579272266612493,0.9999734466277217,median,qi,pos,NO,4
phecode_829,Nonspecific findings on examination of blood,0.0698926959469821,Signs/Symptoms,0.0679521377665604,0.06517171962979298,0.07035600392239136,0.9999734466277217,median,qi,pos,NO,6
phecode_446-2,Orthostatic hypotension,0.02023266364096015,Cardio,0.067975912901169,0.06322761670551745,0.07390869630224638,0.9999734466277217,median,qi,pos,NO,72
phecode_672-4,Disseminated superficial actinic porokeratosis (DSAP),3.344062199556912e-4,Derm,0.06802208957979555,0.04215337452293433,0.08971397488989966,0.9999734466277217,median,qi,pos,NO,5
phecode_447,Nonspecific low blood-pressure reading,0.007784780066492918,Cardio,0.06807643372522809,0.05354325429387966,0.0778816128714174,0.9999734466277217,median,qi,pos,NO,73
phecode_256-1,Hyperosmolality and/or hypernatremia,0.004067259161292121,Metab,0.0680997912920892,0.05658132677800783,0.08121572006680454,0.9999734466277217,median,qi,pos,NO,9
phecode_510-8,Barrett's esophagus,0.01316401795147828,GI,0.06810258117194201,0.06252021042847199,0.07678398607989749,0.9999734466277217,median,qi,pos,NO,34
phecode_618,Genital prolapse,0.06525544568228979,Genitourinary,0.06834267034101732,0.06347723237106978,0.07441220741089513,0.9999734466277217,median,qi,pos,NO,53
