endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_387-5,Anisometropia,Eye,"0.661 (0.612, 0.703)","0.757 (0.709, 0.797)","0.095 (0.042, 0.142)",0.095,+,152
phecode_388,Blindness and low vision,Eye,"0.608 (0.589, 0.627)","0.716 (0.701, 0.739)","0.106 (0.087, 0.123)",0.106,+,944
phecode_388-1,Blindness of both eyes,Eye,"0.624 (0.578, 0.668)","0.815 (0.766, 0.861)","0.193 (0.134, 0.251)",0.193,+,144
phecode_389,Other disorders of eye,Eye,"0.587 (0.581, 0.591)","0.64 (0.635, 0.646)","0.053 (0.046, 0.06)",0.053,+,13518
phecode_389-1,Ocular pain,Eye,"0.534 (0.519, 0.557)","0.671 (0.655, 0.683)","0.136 (0.114, 0.16)",0.136,+,1747
phecode_390,Disorders of external ear,Hearing,"0.595 (0.588, 0.602)","0.671 (0.664, 0.682)","0.076 (0.067, 0.083)",0.076,+,5787
phecode_390-1,Otitis externa,Hearing,"0.52 (0.499, 0.536)","0.664 (0.647, 0.679)","0.143 (0.125, 0.176)",0.143,+,2106
phecode_390-4,Impacted cerumen,Hearing,"0.645 (0.635, 0.654)","0.693 (0.682, 0.704)","0.048 (0.041, 0.057)",0.048,+,4075
phecode_391,Disorders of the middle ear,Hearing,"0.559 (0.545, 0.568)","0.657 (0.647, 0.669)","0.098 (0.082, 0.116)",0.098,+,4519
phecode_391-1,Otitis media,Hearing,"0.578 (0.565, 0.588)","0.668 (0.658, 0.679)","0.091 (0.073, 0.106)",0.091,+,3141
phecode_391-11,Acute otitis media,Hearing,"0.595 (0.58, 0.61)","0.717 (0.696, 0.73)","0.123 (0.089, 0.143)",0.123,+,1282
phecode_391-12,Chronic otitis media,Hearing,"0.56 (0.504, 0.597)","0.758 (0.725, 0.796)","0.2 (0.144, 0.269)",0.2,+,223
phecode_391-2,Eustachian tube disorders,Hearing,"0.558 (0.545, 0.571)","0.705 (0.694, 0.716)","0.147 (0.123, 0.168)",0.147,+,1806
phecode_391-7,Perforation of tympanic membrane,Hearing,"0.536 (0.51, 0.583)","0.669 (0.644, 0.699)","0.131 (0.064, 0.183)",0.131,+,366
phecode_391-9,Otorrhea,Hearing,"0.585 (0.54, 0.625)","0.739 (0.694, 0.765)","0.151 (0.106, 0.197)",0.151,+,318
phecode_392,Otalgia and effusion of ear,Hearing,"0.575 (0.566, 0.586)","0.688 (0.678, 0.702)","0.113 (0.1, 0.129)",0.113,+,3584
phecode_393,Mastoiditis and related conditions,Hearing,"0.554 (0.511, 0.614)","0.752 (0.68, 0.804)","0.194 (0.12, 0.27)",0.194,+,128
phecode_394,Disorders of vestibular function,Hearing,"0.651 (0.641, 0.66)","0.733 (0.722, 0.743)","0.082 (0.071, 0.093)",0.082,+,2632
phecode_394-1,Meniere disease,Hearing,"0.668 (0.63, 0.703)","0.74 (0.682, 0.787)","0.075 (0.02, 0.124)",0.075,+,151
phecode_394-2,Vertigo,Hearing,"0.656 (0.648, 0.666)","0.728 (0.719, 0.739)","0.072 (0.059, 0.084)",0.072,+,2290
phecode_394-22,Vestibular neuronitis,Hearing,"0.662 (0.652, 0.67)","0.719 (0.708, 0.732)","0.058 (0.045, 0.072)",0.058,+,2191
phecode_395,Other diseases of inner ear,Hearing,"0.648 (0.639, 0.658)","0.719 (0.709, 0.73)","0.072 (0.057, 0.084)",0.072,+,2823
phecode_395-1,Labyrinthitis,Hearing,"0.599 (0.545, 0.654)","0.693 (0.626, 0.744)","0.089 (0.045, 0.15)",0.089,+,106
phecode_396,Hearing impairment,Hearing,"0.691 (0.683, 0.698)","0.729 (0.723, 0.735)","0.038 (0.034, 0.045)",0.038,+,6198
phecode_396-1,Conductive hearing loss,Hearing,"0.64 (0.62, 0.658)","0.729 (0.712, 0.749)","0.092 (0.067, 0.111)",0.092,+,914
phecode_396-11,"Conductive hearing loss, bilateral",Hearing,"0.666 (0.64, 0.685)","0.738 (0.719, 0.756)","0.073 (0.041, 0.11)",0.073,+,456
phecode_396-2,Sensorineural hearing loss,Hearing,"0.726 (0.718, 0.734)","0.767 (0.762, 0.775)","0.041 (0.034, 0.049)",0.041,+,4371
phecode_396-21,"Sensorineural hearing loss, bilateral",Hearing,"0.756 (0.75, 0.764)","0.793 (0.786, 0.803)","0.038 (0.031, 0.045)",0.038,+,3909
phecode_396-22,Presbycusis,Hearing,"0.807 (0.781, 0.832)","0.832 (0.81, 0.854)","0.023 (0.008, 0.047)",0.023,+,229
phecode_396-3,Mixed conductive and sensorineural hearing loss,Hearing,"0.694 (0.674, 0.72)","0.755 (0.734, 0.782)","0.059 (0.027, 0.084)",0.059,+,658
phecode_396-5,Sudden idiopathic hearing loss,Hearing,"0.63 (0.586, 0.676)","0.71 (0.682, 0.746)","0.082 (0.045, 0.142)",0.082,+,185
phecode_397,Other hearing abnormality,Hearing,"0.599 (0.587, 0.609)","0.696 (0.689, 0.708)","0.095 (0.084, 0.113)",0.095,+,3685
phecode_397-1,Tinnitus,Hearing,"0.609 (0.599, 0.618)","0.692 (0.682, 0.705)","0.083 (0.07, 0.096)",0.083,+,3295
phecode_398,Other disorders of ear,Hearing,"0.559 (0.551, 0.565)","0.658 (0.65, 0.664)","0.1 (0.091, 0.106)",0.1,+,9938
phecode_400,Rheumatic fever and chronic rheumatic heart diseases,Cardio,"0.703 (0.693, 0.713)","0.784 (0.773, 0.792)","0.081 (0.071, 0.093)",0.081,+,3856
phecode_400-2,Chronic rheumatic heart diseases,Cardio,"0.704 (0.692, 0.714)","0.785 (0.773, 0.792)","0.08 (0.07, 0.093)",0.08,+,3837
phecode_401,Hypertension,Cardio,"0.627 (0.621, 0.632)","0.648 (0.643, 0.653)","0.021 (0.016, 0.024)",0.021,+,13860
phecode_401-1,Essential hypertension,Cardio,"0.624 (0.618, 0.629)","0.645 (0.64, 0.65)","0.021 (0.017, 0.025)",0.021,+,13636
phecode_401-2,Hypertensive heart disease,Cardio,"0.707 (0.7, 0.715)","0.858 (0.851, 0.864)","0.15 (0.144, 0.158)",0.15,+,4777
phecode_401-3,Hypertensive chronic kidney disease,Cardio,"0.708 (0.699, 0.717)","0.853 (0.845, 0.86)","0.145 (0.134, 0.155)",0.145,+,4203
phecode_401-6,Secondary hypertension,Cardio,"0.625 (0.61, 0.644)","0.769 (0.751, 0.782)","0.143 (0.124, 0.16)",0.143,+,1389
phecode_402,Elevated blood pressure reading without diagnosis of hypertension,Cardio,"0.522 (0.507, 0.531)","0.597 (0.588, 0.606)","0.077 (0.063, 0.092)",0.077,+,3809
phecode_403,Angina pectoris,Cardio,"0.721 (0.713, 0.727)","0.775 (0.771, 0.78)","0.054 (0.048, 0.059)",0.054,+,6829
