endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
OMOP_4306655,All-Cause Death,Death,"0.693 (0.685, 0.703)","0.809 (0.8, 0.819)","0.116 (0.104, 0.127)",0.116,+,2429
phecode_002,Staphylococcus,ID,"0.571 (0.557, 0.592)","0.769 (0.755, 0.781)","0.197 (0.178, 0.212)",0.197,+,1942
phecode_002-1,Staphylococcus aureus,ID,"0.571 (0.557, 0.592)","0.772 (0.758, 0.784)","0.2 (0.18, 0.214)",0.2,+,1942
phecode_003,Escherichia coli,ID,"0.591 (0.576, 0.608)","0.766 (0.753, 0.787)","0.175 (0.162, 0.195)",0.175,+,1684
phecode_004,Streptococcus,ID,"0.676 (0.669, 0.689)","0.509 (0.498, 0.52)","-0.167 (-0.185, -0.149)",-0.167,-,3669
phecode_004-1,Streptococcus pneumoniae,ID,"0.623 (0.567, 0.695)","0.788 (0.744, 0.842)","0.158 (0.103, 0.226)",0.158,+,122
phecode_005,Mycobacteria,ID,"0.55 (0.525, 0.575)","0.649 (0.626, 0.674)","0.098 (0.06, 0.129)",0.098,+,693
phecode_005-1,Mycobacterium tuberculosis,ID,"0.517 (0.498, 0.542)","0.634 (0.604, 0.661)","0.112 (0.087, 0.146)",0.112,+,534
phecode_005-2,Nontuberculous mycobacteria,ID,"0.669 (0.621, 0.715)","0.791 (0.753, 0.837)","0.118 (0.083, 0.177)",0.118,+,174
phecode_008,Helicobacter [H. pylori],ID,"0.532 (0.506, 0.555)","0.638 (0.618, 0.652)","0.105 (0.081, 0.142)",0.105,+,761
phecode_009,Pseudomonas,ID,"0.629 (0.578, 0.67)","0.829 (0.787, 0.862)","0.202 (0.149, 0.25)",0.202,+,201
phecode_010,Corynebacterium,ID,"0.566 (0.522, 0.646)","0.627 (0.569, 0.671)","0.058 (-0.027, 0.119)",0.058,ns,128
phecode_015,Clostridium,ID,"0.561 (0.538, 0.591)","0.785 (0.767, 0.806)","0.226 (0.193, 0.262)",0.226,+,771
phecode_015-2,Clostridium difficile,ID,"0.569 (0.543, 0.6)","0.781 (0.765, 0.803)","0.216 (0.179, 0.254)",0.216,+,714
phecode_019,Treponema,ID,"0.613 (0.588, 0.634)","0.678 (0.654, 0.704)","0.066 (0.027, 0.102)",0.066,+,574
phecode_020,Borrelia,ID,"0.619 (0.572, 0.643)","0.674 (0.65, 0.697)","0.06 (0.024, 0.091)",0.06,+,453
phecode_020-1,Lyme disease,ID,"0.633 (0.59, 0.658)","0.682 (0.654, 0.707)","0.05 (0.022, 0.082)",0.05,+,415
phecode_025,Enterococcus,ID,"0.608 (0.584, 0.628)","0.828 (0.808, 0.846)","0.218 (0.197, 0.247)",0.218,+,662
phecode_050,Enterovirus,ID,"0.538 (0.503, 0.583)","0.692 (0.638, 0.73)","0.153 (0.105, 0.227)",0.153,+,210
phecode_052,Herpesvirus,ID,"0.576 (0.564, 0.586)","0.579 (0.57, 0.589)","0.004 (-0.015, 0.025)",0.004,ns,3046
phecode_052-1,Herpes simplex,ID,"0.615 (0.598, 0.627)","0.604 (0.593, 0.616)","-0.012 (-0.031, 0.014)",-0.012,ns,2221
phecode_052-3,Varicella zoster virus,ID,"0.611 (0.591, 0.637)","0.685 (0.666, 0.714)","0.074 (0.06, 0.093)",0.074,+,761
phecode_052-31,Varicella [chickenpox],ID,"0.562 (0.517, 0.598)","0.515 (0.445, 0.557)","-0.051 (-0.13, 0.01)",-0.051,ns,182
phecode_052-32,Herpes zoster,ID,"0.654 (0.633, 0.677)","0.735 (0.717, 0.762)","0.081 (0.059, 0.097)",0.081,+,609
phecode_052-4,Infectious mononucleosis,ID,"0.627 (0.556, 0.683)","0.717 (0.666, 0.783)","0.091 (0.004, 0.168)",0.091,+,135
phecode_052-5,Cytomegalovirus [CMV],ID,"0.616 (0.576, 0.657)","0.877 (0.839, 0.907)","0.258 (0.211, 0.322)",0.258,+,210
phecode_054,Hepatovirus,ID,"0.621 (0.604, 0.64)","0.309 (0.291, 0.325)","-0.313 (-0.341, -0.288)",-0.313,-,1509
phecode_054-2,Hepatitis B,ID,"0.58 (0.542, 0.615)","0.294 (0.266, 0.328)","-0.286 (-0.341, -0.239)",-0.286,-,340
phecode_054-3,Hepatitis C,ID,"0.661 (0.64, 0.682)","0.632 (0.614, 0.656)","-0.029 (-0.057, -0.002)",-0.029,-,1099
phecode_054-31,Chronic hepatitis C,ID,"0.66 (0.639, 0.681)","0.732 (0.713, 0.747)","0.073 (0.051, 0.097)",0.073,+,1100
phecode_056,Human papillomavirus,ID,"0.549 (0.536, 0.562)","0.64 (0.628, 0.65)","0.09 (0.07, 0.113)",0.09,+,3184
phecode_056-1,Plantar wart,ID,"0.548 (0.521, 0.585)","0.676 (0.644, 0.701)","0.127 (0.075, 0.179)",0.127,+,586
phecode_057,Retrovirus,ID,"0.666 (0.638, 0.689)","0.646 (0.628, 0.67)","-0.022 (-0.049, 0.019)",-0.022,ns,508
phecode_057-1,Human immunodeficiency virus,ID,"0.668 (0.639, 0.689)","0.644 (0.624, 0.664)","-0.026 (-0.054, 0.016)",-0.026,ns,504
phecode_058,Pneumoviridae,ID,"0.595 (0.571, 0.64)","0.793 (0.767, 0.821)","0.2 (0.155, 0.235)",0.2,+,327
phecode_058-1,Respiratory syncytial virus,ID,"0.581 (0.551, 0.628)","0.788 (0.758, 0.818)","0.207 (0.16, 0.248)",0.207,+,285
phecode_059,Coronavirus,ID,"0.526 (0.514, 0.53)","0.622 (0.613, 0.629)","0.096 (0.089, 0.111)",0.096,+,10035
phecode_059-1,COVID-19*,ID,"0.526 (0.516, 0.532)","0.619 (0.609, 0.626)","0.092 (0.083, 0.107)",0.092,+,9725
phecode_061,Influenza virus,ID,"0.575 (0.563, 0.589)","0.608 (0.597, 0.62)","0.032 (0.016, 0.051)",0.032,+,2689
phecode_070,Candidiasis,ID,"0.635 (0.627, 0.646)","0.668 (0.658, 0.681)","0.033 (0.014, 0.048)",0.033,+,4568
phecode_074,Aspergillosis,ID,"0.596 (0.518, 0.643)","0.853 (0.815, 0.888)","0.261 (0.2, 0.332)",0.261,+,133
phecode_084,Parasites,ID,"0.615 (0.582, 0.639)","0.646 (0.633, 0.667)","0.031 (0.005, 0.059)",0.031,+,1017
phecode_084-4,Trichomoniasis,ID,"0.795 (0.776, 0.816)","0.695 (0.671, 0.722)","-0.101 (-0.132, -0.066)",-0.101,-,476
phecode_086,"Pediculosis, acariasis and other infestations",ID,"0.551 (0.527, 0.591)","0.658 (0.631, 0.691)","0.107 (0.04, 0.145)",0.107,+,494
phecode_088,Sexually transmitted disease,ID,"0.654 (0.641, 0.669)","0.641 (0.623, 0.655)","-0.014 (-0.038, 0.004)",-0.014,ns,2433
phecode_089,Infections,ID,"0.542 (0.538, 0.548)","0.553 (0.55, 0.559)","0.01 (0.002, 0.02)",0.01,+,22130
phecode_089-1,Bacterial infections,ID,"0.555 (0.549, 0.561)","0.585 (0.578, 0.59)","0.031 (0.018, 0.039)",0.031,+,13209
phecode_089-2,Viral infections,ID,"0.534 (0.529, 0.539)","0.596 (0.591, 0.602)","0.061 (0.054, 0.071)",0.061,+,17822
phecode_089-3,Fungal infections,ID,"0.522 (0.517, 0.53)","0.648 (0.642, 0.656)","0.125 (0.118, 0.132)",0.125,+,9317
phecode_091,Gangrene,ID,"0.591 (0.574, 0.615)","0.732 (0.702, 0.756)","0.142 (0.111, 0.161)",0.142,+,955
phecode_092,"Bacteremia, Sepsis, and SIRS",ID,"0.572 (0.564, 0.582)","0.733 (0.725, 0.741)","0.16 (0.144, 0.17)",0.16,+,5127
phecode_092-1,Systemic inflammatory response syndrome,ID,"0.539 (0.521, 0.57)","0.737 (0.716, 0.76)","0.199 (0.164, 0.22)",0.199,+,812
phecode_092-2,Sepsis,ID,"0.57 (0.563, 0.579)","0.732 (0.723, 0.741)","0.162 (0.146, 0.173)",0.162,+,4791
phecode_092-8,Bacteremia,ID,"0.587 (0.572, 0.615)","0.769 (0.751, 0.789)","0.182 (0.166, 0.201)",0.182,+,1641
phecode_095,Sequela of infection,ID,"0.577 (0.556, 0.595)","0.688 (0.676, 0.699)","0.11 (0.094, 0.135)",0.11,+,2580
phecode_096,Contact or exposure to infectious agent,ID,"0.511 (0.508, 0.515)","0.623 (0.619, 0.629)","0.111 (0.106, 0.119)",0.111,+,26942
phecode_097,Drug resistant microorganisms,ID,"0.586 (0.564, 0.606)","0.752 (0.736, 0.778)","0.166 (0.134, 0.196)",0.166,+,1104
phecode_097-1,Methicillin resistant Staphylococcus aureus,ID,"0.59 (0.569, 0.612)","0.758 (0.744, 0.783)","0.169 (0.14, 0.198)",0.169,+,1092
phecode_098,Carrier or suspected carrier of infectious diseases,ID,"0.674 (0.652, 0.698)","0.499 (0.472, 0.524)","-0.179 (-0.217, -0.132)",-0.179,-,754
phecode_098-2,Carrier or suspected carrier of Staphylococcus aureus,ID,"0.559 (0.514, 0.601)","0.757 (0.719, 0.776)","0.196 (0.141, 0.233)",0.196,+,281
phecode_099,Lab findings related to infections,ID,"0.58 (0.556, 0.606)","0.65 (0.628, 0.679)","0.071 (0.032, 0.111)",0.071,+,728
phecode_100,Malignant neoplasm of the head and neck,Neoplasms,"0.725 (0.694, 0.754)","0.736 (0.712, 0.769)","0.013 (-0.026, 0.04)",0.013,ns,269
phecode_100-1,Malignant neoplasm of the oral cavity,Neoplasms,"0.724 (0.686, 0.761)","0.723 (0.654, 0.775)","-0.002 (-0.049, 0.04)",-0.002,ns,144
phecode_100-6,Malignant neoplasm of the larynx,Neoplasms,"0.764 (0.725, 0.799)","0.803 (0.763, 0.84)","0.038 (0.014, 0.066)",0.038,+,106
phecode_101,Malignant neoplasm of the digestive organs,Neoplasms,"0.693 (0.678, 0.704)","0.725 (0.703, 0.737)","0.031 (0.023, 0.042)",0.031,+,1653
phecode_101-2,Malignant neoplasm of stomach,Neoplasms,"0.67 (0.63, 0.709)","0.695 (0.664, 0.757)","0.028 (-0.01, 0.084)",0.028,ns,137
phecode_101-4,Malignant neoplasm of the colon and rectum,Neoplasms,"0.697 (0.672, 0.716)","0.727 (0.701, 0.754)","0.031 (0.015, 0.042)",0.031,+,617
phecode_101-41,Malignant neoplasm of the colon,Neoplasms,"0.698 (0.674, 0.723)","0.733 (0.713, 0.753)","0.036 (0.017, 0.051)",0.036,+,456
phecode_101-42,Malignant neoplasm of the rectum,Neoplasms,"0.704 (0.66, 0.731)","0.771 (0.737, 0.811)","0.068 (0.038, 0.1)",0.068,+,185
phecode_101-5,Malignant neoplasm of the anus and anal canal,Neoplasms,"0.66 (0.601, 0.715)","0.682 (0.634, 0.753)","0.023 (-0.046, 0.086)",0.023,ns,108
phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,Neoplasms,"0.663 (0.627, 0.704)","0.828 (0.794, 0.864)","0.171 (0.129, 0.202)",0.171,+,190
phecode_101-61,Malignant neoplasm of the liver,Neoplasms,"0.653 (0.607, 0.693)","0.818 (0.769, 0.859)","0.166 (0.128, 0.222)",0.166,+,163
phecode_101-8,Malignant neoplasm of the pancreas,Neoplasms,"0.724 (0.688, 0.752)","0.739 (0.699, 0.763)","0.015 (-0.022, 0.042)",0.015,ns,261
phecode_102,Malignant neoplasm of the thoracic and respiratory organs,Neoplasms,"0.71 (0.697, 0.724)","0.774 (0.76, 0.789)","0.065 (0.047, 0.077)",0.065,+,1269
phecode_102-1,Malignant neoplasm of the of bronchus and lung,Neoplasms,"0.72 (0.705, 0.737)","0.799 (0.782, 0.814)","0.08 (0.062, 0.096)",0.08,+,869
phecode_103,Malignant neoplasm of the skin,Neoplasms,"0.673 (0.665, 0.687)","0.709 (0.702, 0.721)","0.037 (0.032, 0.041)",0.037,+,4816
phecode_103-1,Melanomas of skin,Neoplasms,"0.717 (0.69, 0.741)","0.759 (0.734, 0.776)","0.042 (0.026, 0.057)",0.042,+,646
phecode_103-2,Keratinocyte carcinoma,Neoplasms,"0.781 (0.771, 0.791)","0.815 (0.805, 0.83)","0.033 (0.024, 0.042)",0.033,+,1943
phecode_103-21,Basal cell carcinoma,Neoplasms,"0.778 (0.769, 0.788)","0.813 (0.803, 0.826)","0.035 (0.026, 0.046)",0.035,+,1468
phecode_103-22,Squamous cell carcinoma of the skin,Neoplasms,"0.817 (0.802, 0.833)","0.86 (0.844, 0.876)","0.043 (0.033, 0.055)",0.043,+,931
phecode_103-3,Carcinoma in situ of skin,Neoplasms,"0.832 (0.819, 0.846)","0.887 (0.876, 0.899)","0.055 (0.043, 0.066)",0.055,+,599
phecode_104,Malignant sarcoma-related cancers,Neoplasms,"0.61 (0.604, 0.616)","0.599 (0.59, 0.61)","-0.011 (-0.018, -0.005)",-0.011,-,6718
phecode_104-1,Malignant neoplam of the bone and/or cartilage,Neoplasms,"0.638 (0.609, 0.668)","0.795 (0.771, 0.832)","0.159 (0.116, 0.215)",0.159,+,287
phecode_104-3,Malignant neoplasm of other connective and soft tissue,Neoplasms,"0.609 (0.602, 0.616)","0.594 (0.584, 0.606)","-0.015 (-0.022, -0.008)",-0.015,-,6599
phecode_105,Malignant neoplasm of the breast,Neoplasms,"0.788 (0.78, 0.8)","0.777 (0.766, 0.788)","-0.011 (-0.026, 0.003)",-0.011,ns,1490
phecode_105-1,"Malignant neoplasm of the breast, female",Neoplasms,"0.707 (0.693, 0.724)","0.718 (0.704, 0.733)","0.009 (-0.011, 0.031)",0.009,ns,1029
phecode_106,Gynecological malignant neoplasms,Neoplasms,"0.59 (0.569, 0.606)","0.654 (0.637, 0.68)","0.064 (0.047, 0.087)",0.064,+,1041
phecode_106-1,Malignant neoplasm of external female genital organs and cervix,Neoplasms,"0.518 (0.495, 0.547)","0.675 (0.649, 0.717)","0.159 (0.121, 0.202)",0.159,+,411
phecode_106-13,Malignant neoplasm of the cervix,Neoplasms,"0.534 (0.513, 0.569)","0.666 (0.641, 0.712)","0.134 (0.099, 0.191)",0.134,+,345
phecode_106-2,Malignant neoplasm of the uterus,Neoplasms,"0.614 (0.589, 0.649)","0.679 (0.642, 0.72)","0.064 (0.028, 0.096)",0.064,+,342
phecode_106-21,Malignant neoplasm of endometrium,Neoplasms,"0.656 (0.63, 0.692)","0.709 (0.653, 0.741)","0.053 (0.015, 0.087)",0.053,+,246
phecode_106-3,Malignant neoplasm of the ovary,Neoplasms,"0.621 (0.588, 0.655)","0.654 (0.614, 0.7)","0.034 (0.002, 0.081)",0.034,+,281
phecode_107,Malignant neoplasm of male genitalia,Neoplasms,"0.756 (0.743, 0.77)","0.747 (0.733, 0.759)","-0.009 (-0.021, 0.003)",-0.009,ns,1754
phecode_107-2,Malignant neoplasm of the prostate,Neoplasms,"0.765 (0.755, 0.776)","0.838 (0.828, 0.849)","0.073 (0.068, 0.079)",0.073,+,1024
phecode_108,Malignant neoplasm of the urinary tract,Neoplasms,"0.719 (0.704, 0.736)","0.782 (0.767, 0.798)","0.064 (0.051, 0.077)",0.064,+,732
phecode_108-4,Malignant neoplasm of the kidney,Neoplasms,"0.688 (0.652, 0.722)","0.777 (0.742, 0.803)","0.09 (0.064, 0.12)",0.09,+,363
phecode_108-41,"Malignant neoplasm of kidney, except pelvis",Neoplasms,"0.69 (0.662, 0.723)","0.783 (0.754, 0.809)","0.092 (0.059, 0.117)",0.092,+,326
phecode_108-5,Malignant neoplasm of the bladder,Neoplasms,"0.774 (0.748, 0.798)","0.814 (0.792, 0.834)","0.042 (0.032, 0.051)",0.042,+,376
phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system",Neoplasms,"0.599 (0.57, 0.622)","0.693 (0.666, 0.718)","0.095 (0.05, 0.129)",0.095,+,567
phecode_109-3,Malignant neoplasm of brain,Neoplasms,"0.623 (0.591, 0.663)","0.714 (0.673, 0.737)","0.09 (0.047, 0.13)",0.09,+,341
phecode_110,Malignant neoplasm of the endocrine glands,Neoplasms,"0.579 (0.551, 0.604)","0.715 (0.681, 0.739)","0.135 (0.101, 0.175)",0.135,+,583
phecode_110-1,Malignant neoplasm of the thyroid,Neoplasms,"0.589 (0.559, 0.621)","0.718 (0.663, 0.741)","0.125 (0.059, 0.175)",0.125,+,367
phecode_112,Malignant neoplasm of other and ill-defined sites,Neoplasms,"0.603 (0.595, 0.607)","0.594 (0.589, 0.599)","-0.008 (-0.011, -0.005)",-0.008,-,15123
phecode_114,Neuroendocrine tumors,Neoplasms,"0.649 (0.633, 0.668)","0.712 (0.688, 0.736)","0.06 (0.029, 0.092)",0.06,+,705
phecode_114-4,Carcinoid tumors,Neoplasms,"0.677 (0.648, 0.743)","0.725 (0.676, 0.785)","0.043 (-0.05, 0.123)",0.043,ns,102
phecode_114-6,Pheochromocytoma (including adrenal gland neoplasms),Neoplasms,"0.636 (0.617, 0.652)","0.733 (0.713, 0.761)","0.098 (0.071, 0.128)",0.098,+,451
phecode_116,Secondary malignant neoplasm,Neoplasms,"0.704 (0.695, 0.717)","0.769 (0.756, 0.777)","0.062 (0.051, 0.077)",0.062,+,1717
phecode_116-1,Secondary malignancy of lymph nodes,Neoplasms,"0.672 (0.653, 0.692)","0.778 (0.758, 0.803)","0.104 (0.085, 0.129)",0.104,+,875
phecode_116-2,Secondary malignancy of respiratory organs,Neoplasms,"0.678 (0.656, 0.71)","0.841 (0.825, 0.859)","0.162 (0.14, 0.181)",0.162,+,625
phecode_116-3,Secondary malignant neoplasm of digestive systems,Neoplasms,"0.686 (0.659, 0.713)","0.816 (0.786, 0.833)","0.128 (0.09, 0.165)",0.128,+,493
phecode_116-4,Secondary malignant neoplasm of liver,Neoplasms,"0.687 (0.669, 0.712)","0.818 (0.803, 0.843)","0.129 (0.103, 0.164)",0.129,+,546
phecode_116-5,Secondary malignancy of brain/spine,Neoplasms,"0.65 (0.607, 0.682)","0.84 (0.817, 0.87)","0.188 (0.164, 0.231)",0.188,+,329
phecode_116-6,Secondary malignancy of bone,Neoplasms,"0.701 (0.673, 0.73)","0.842 (0.824, 0.861)","0.139 (0.118, 0.172)",0.139,+,633
phecode_120,Hemo onc - by cell of origin,Neoplasms,"0.609 (0.598, 0.626)","0.642 (0.622, 0.659)","0.033 (0.017, 0.046)",0.033,+,1577
phecode_120-1,Myeloid,Neoplasms,"0.557 (0.544, 0.579)","0.617 (0.594, 0.642)","0.057 (0.033, 0.082)",0.057,+,906
phecode_120-2,Lymphoid,Neoplasms,"0.696 (0.672, 0.722)","0.737 (0.717, 0.764)","0.04 (0.013, 0.072)",0.04,+,506
phecode_120-21,Mature B-cell,Neoplasms,"0.72 (0.689, 0.737)","0.76 (0.736, 0.794)","0.041 (0.017, 0.066)",0.041,+,413
phecode_121,Leukemia,Neoplasms,"0.691 (0.667, 0.715)","0.741 (0.71, 0.776)","0.049 (0.025, 0.085)",0.049,+,346
phecode_121-1,Acute leukemia,Neoplasms,"0.642 (0.585, 0.702)","0.768 (0.732, 0.84)","0.123 (0.064, 0.186)",0.123,+,148
phecode_121-12,Acute myeloid leukemia,Neoplasms,"0.663 (0.6, 0.732)","0.757 (0.705, 0.857)","0.094 (0.02, 0.182)",0.094,+,102
phecode_121-2,Chronic leukemia,Neoplasms,"0.742 (0.693, 0.787)","0.753 (0.719, 0.8)","0.011 (-0.019, 0.044)",0.011,ns,189
phecode_121-21,Chronic lymphoid leukemia,Neoplasms,"0.75 (0.711, 0.784)","0.789 (0.751, 0.837)","0.04 (-0.005, 0.092)",0.04,ns,154
phecode_122,Lymphoma,Neoplasms,"0.696 (0.672, 0.716)","0.726 (0.7, 0.746)","0.03 (0.002, 0.05)",0.03,+,586
phecode_122-1,Hodgkin lymphoma,Neoplasms,"0.676 (0.626, 0.74)","0.738 (0.659, 0.776)","0.066 (-0.017, 0.138)",0.066,ns,109
phecode_122-2,Non-Hodgkin lymphoma,Neoplasms,"0.696 (0.672, 0.716)","0.726 (0.699, 0.746)","0.03 (0.002, 0.049)",0.03,+,586
phecode_122-21,Follicular lymphoma,Neoplasms,"0.729 (0.691, 0.77)","0.805 (0.753, 0.847)","0.073 (0.019, 0.118)",0.073,+,140
phecode_122-22,Diffuse large B-cell lymphoma*,Neoplasms,"0.69 (0.651, 0.747)","0.786 (0.739, 0.829)","0.096 (0.05, 0.145)",0.096,+,132
phecode_124,Myeloproliferative disorder,Neoplasms,"0.573 (0.55, 0.605)","0.628 (0.604, 0.66)","0.056 (0.028, 0.076)",0.056,+,889
phecode_124-5,Essential thrombocythemia,Neoplasms,"0.546 (0.525, 0.576)","0.603 (0.581, 0.636)","0.057 (0.014, 0.095)",0.057,+,582
phecode_124-7,Chronic myeloproliferative disease,Neoplasms,"0.692 (0.66, 0.724)","0.263 (0.235, 0.286)","-0.426 (-0.474, -0.382)",-0.426,-,364
phecode_125,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue",Neoplasms,"0.606 (0.594, 0.622)","0.645 (0.627, 0.663)","0.038 (0.016, 0.06)",0.038,+,1389
phecode_130,"Cancer (solid tumor, excluding BCC)",Neoplasms,"0.691 (0.686, 0.698)","0.696 (0.69, 0.703)","0.005 (0.001, 0.01)",0.005,+,7552
phecode_132,Sequelae of cancer,Neoplasms,"0.646 (0.634, 0.655)","0.781 (0.769, 0.796)","0.136 (0.114, 0.148)",0.136,+,1736
phecode_135,Benign neoplasm of the head and neck,Neoplasms,"0.566 (0.544, 0.588)","0.693 (0.672, 0.721)","0.123 (0.099, 0.159)",0.123,+,679
phecode_135-1,Benign neoplasm of the oral cavity,Neoplasms,"0.605 (0.566, 0.65)","0.673 (0.628, 0.733)","0.072 (0.031, 0.111)",0.072,+,208
phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,Neoplasms,"0.556 (0.516, 0.593)","0.712 (0.679, 0.743)","0.154 (0.092, 0.213)",0.154,+,370
phecode_135-6,Benign neoplasm of vocal cord or larynx,Neoplasms,"0.657 (0.592, 0.711)","0.774 (0.727, 0.816)","0.116 (0.055, 0.167)",0.116,+,115
phecode_136,Benign neoplasm of the digestive organs,Neoplasms,"0.655 (0.65, 0.661)","0.688 (0.682, 0.695)","0.033 (0.025, 0.039)",0.033,+,9183
phecode_136-2,Benign neoplasm of stomach,Neoplasms,"0.64 (0.627, 0.654)","0.768 (0.756, 0.78)","0.128 (0.117, 0.143)",0.128,+,1160
phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms,"0.658 (0.653, 0.664)","0.682 (0.676, 0.69)","0.024 (0.017, 0.03)",0.024,+,8799
phecode_136-41,Benign neoplasm of the colon,Neoplasms,"0.683 (0.678, 0.69)","0.7 (0.691, 0.707)","0.017 (0.008, 0.022)",0.017,+,7591
phecode_136-42,Benign neoplasm of rectum and anus,Neoplasms,"0.608 (0.6, 0.617)","0.662 (0.65, 0.67)","0.054 (0.041, 0.063)",0.054,+,4029
phecode_136-8,Benign neoplasm of the pancreas,Neoplasms,"0.764 (0.73, 0.793)","0.768 (0.737, 0.814)","0.007 (-0.057, 0.054)",0.007,ns,120
phecode_138,Benign neoplasm of the skin,Neoplasms,"0.59 (0.583, 0.595)","0.658 (0.65, 0.663)","0.069 (0.061, 0.076)",0.069,+,9421
phecode_138-1,"Nevus, non-neoplastic",Neoplasms,"0.659 (0.65, 0.67)","0.74 (0.731, 0.748)","0.082 (0.07, 0.092)",0.082,+,2716
phecode_138-2,Melanocytic nevi*,Neoplasms,"0.576 (0.566, 0.583)","0.703 (0.697, 0.708)","0.127 (0.117, 0.135)",0.127,+,6557
phecode_139,Benign sarcoma-related cancers,Neoplasms,"0.594 (0.589, 0.601)","0.634 (0.628, 0.641)","0.04 (0.031, 0.046)",0.04,+,10843
phecode_139-1,Benign neoplams of the bone and/or cartilage,Neoplasms,"0.587 (0.532, 0.641)","0.62 (0.579, 0.675)","0.034 (-0.007, 0.08)",0.034,ns,203
phecode_139-3,Benign neoplasm of other connective and soft tissue,Neoplasms,"0.601 (0.595, 0.607)","0.644 (0.638, 0.651)","0.044 (0.035, 0.05)",0.044,+,10046
phecode_139-4,Benign neoplasm of peripheral nerves*,Neoplasms,"0.627 (0.597, 0.657)","0.734 (0.699, 0.768)","0.107 (0.049, 0.165)",0.107,+,257
phecode_139-5,Lipoma,Neoplasms,"0.59 (0.575, 0.608)","0.676 (0.662, 0.69)","0.086 (0.061, 0.102)",0.086,+,1709
phecode_139-53,Lipoma of other skin subcutaneous tissue,Neoplasms,"0.589 (0.549, 0.619)","0.651 (0.622, 0.679)","0.066 (0.022, 0.097)",0.066,+,392
phecode_139-6,Hemangioma and lymphangioma,Neoplasms,"0.65 (0.639, 0.66)","0.711 (0.7, 0.72)","0.059 (0.049, 0.067)",0.059,+,3802
phecode_139-61,Hemangioma,Neoplasms,"0.651 (0.642, 0.662)","0.714 (0.703, 0.724)","0.062 (0.052, 0.07)",0.062,+,3782
phecode_140,Benign neoplasm of the breast,Neoplasms,"0.692 (0.677, 0.704)","0.73 (0.714, 0.742)","0.038 (0.013, 0.058)",0.038,+,669
phecode_142,Lump or mass in breast or nonspecific abnormal breast exam,Neoplasms,"0.74 (0.736, 0.744)","0.707 (0.7, 0.715)","-0.033 (-0.042, -0.026)",-0.033,-,6070
phecode_142-1,Lump or mass in breast,Neoplasms,"0.711 (0.704, 0.716)","0.681 (0.672, 0.69)","-0.03 (-0.037, -0.021)",-0.03,-,4609
phecode_142-2,Abnormal mammogram,Neoplasms,"0.784 (0.776, 0.792)","0.797 (0.784, 0.804)","0.012 (0.001, 0.024)",0.012,+,1742
phecode_142-21,Mammographic microcalcification,Neoplasms,"0.772 (0.751, 0.8)","0.784 (0.755, 0.799)","0.01 (-0.014, 0.027)",0.01,ns,360
phecode_144,Gynecological benign neoplasms,Neoplasms,"0.547 (0.535, 0.556)","0.704 (0.688, 0.712)","0.157 (0.146, 0.164)",0.157,+,2652
phecode_144-1,Benign neoplasms of external female genital organs and cervix,Neoplasms,"0.514 (0.494, 0.541)","0.714 (0.688, 0.748)","0.2 (0.168, 0.233)",0.2,+,414
phecode_144-13,Benign neoplasms of the cervix,Neoplasms,"0.52 (0.493, 0.545)","0.705 (0.668, 0.741)","0.186 (0.155, 0.224)",0.186,+,334
phecode_144-2,Benign neoplasms of the uterus,Neoplasms,"0.55 (0.539, 0.558)","0.703 (0.688, 0.71)","0.153 (0.143, 0.161)",0.153,+,2257
phecode_144-21,Leiomyoma of uterus,Neoplasms,"0.55 (0.539, 0.557)","0.696 (0.681, 0.704)","0.146 (0.136, 0.153)",0.146,+,2247
phecode_144-3,Benign neoplasms of the ovary,Neoplasms,"0.558 (0.527, 0.593)","0.706 (0.666, 0.75)","0.143 (0.084, 0.209)",0.143,+,220
phecode_146,Benign neoplasm of the genitourinary system,Neoplasms,"0.772 (0.731, 0.801)","0.781 (0.744, 0.808)","0.01 (-0.019, 0.034)",0.01,ns,278
phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system",Neoplasms,"0.613 (0.599, 0.629)","0.675 (0.655, 0.693)","0.061 (0.045, 0.083)",0.061,+,1364
phecode_148-1,Benign neoplasm of eye,Neoplasms,"0.671 (0.649, 0.698)","0.719 (0.693, 0.744)","0.047 (0.022, 0.074)",0.047,+,445
phecode_148-16,Benign neoplasm of choroid,Neoplasms,"0.683 (0.658, 0.719)","0.722 (0.694, 0.75)","0.036 (-0.004, 0.062)",0.036,ns,355
phecode_148-2,Benign neoplasm of meninges (Meningioma),Neoplasms,"0.689 (0.646, 0.729)","0.725 (0.698, 0.779)","0.037 (0, 0.083)",0.037,ns,212
phecode_148-3,Benign neoplasm of brain,Neoplasms,"0.525 (0.502, 0.551)","0.673 (0.643, 0.705)","0.149 (0.103, 0.192)",0.149,+,403
