endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
OMOP_4306655,All-Cause Death,Death,"0.701 (0.698, 0.703)","0.872 (0.87, 0.874)","0.171 (0.169, 0.174)",+,0.171,"0.693 (0.685, 0.703)","0.809 (0.8, 0.819)","0.116 (0.104, 0.127)",0.116,+,2429,UKB: + | AoU: +,++
phecode_002,Staphylococcus,ID,"0.611 (0.606, 0.619)","0.726 (0.72, 0.732)","0.115 (0.105, 0.121)",+,0.115,"0.571 (0.557, 0.592)","0.769 (0.755, 0.781)","0.197 (0.178, 0.212)",0.197,+,1942,UKB: + | AoU: +,++
phecode_002-1,Staphylococcus aureus,ID,"0.606 (0.597, 0.616)","0.73 (0.719, 0.737)","0.124 (0.116, 0.131)",+,0.124,"0.571 (0.557, 0.592)","0.772 (0.758, 0.784)","0.2 (0.18, 0.214)",0.2,+,1942,UKB: + | AoU: +,++
phecode_003,Escherichia coli,ID,"0.6 (0.594, 0.609)","0.668 (0.663, 0.674)","0.068 (0.062, 0.075)",+,0.068,"0.591 (0.576, 0.608)","0.766 (0.753, 0.787)","0.175 (0.162, 0.195)",0.175,+,1684,UKB: + | AoU: +,++
phecode_004,Streptococcus,ID,"0.569 (0.561, 0.58)","0.654 (0.645, 0.664)","0.086 (0.07, 0.096)",+,0.086,"0.676 (0.669, 0.689)","0.509 (0.498, 0.52)","-0.167 (-0.185, -0.149)",-0.167,-,3669,UKB: + | AoU: -,+-
phecode_004-1,Streptococcus pneumoniae,ID,"0.58 (0.558, 0.598)","0.68 (0.659, 0.701)","0.1 (0.081, 0.123)",+,0.1,"0.623 (0.567, 0.695)","0.788 (0.744, 0.842)","0.158 (0.103, 0.226)",0.158,+,122,UKB: + | AoU: +,++
phecode_005,Mycobacteria,ID,"0.493 (0.473, 0.515)","0.679 (0.657, 0.703)","0.187 (0.154, 0.22)",+,0.187,"0.55 (0.525, 0.575)","0.649 (0.626, 0.674)","0.098 (0.06, 0.129)",0.098,+,693,UKB: + | AoU: +,++
phecode_005-1,Mycobacterium tuberculosis,ID,"0.472 (0.453, 0.495)","0.689 (0.665, 0.71)","0.217 (0.18, 0.248)",+,0.217,"0.517 (0.498, 0.542)","0.634 (0.604, 0.661)","0.112 (0.087, 0.146)",0.112,+,534,UKB: + | AoU: +,++
phecode_005-2,Nontuberculous mycobacteria,ID,"0.605 (0.57, 0.64)","0.743 (0.708, 0.783)","0.138 (0.104, 0.167)",+,0.138,"0.669 (0.621, 0.715)","0.791 (0.753, 0.837)","0.118 (0.083, 0.177)",0.118,+,174,UKB: + | AoU: +,++
phecode_008,Helicobacter [H. pylori],ID,"0.437 (0.424, 0.447)","0.706 (0.697, 0.714)","0.269 (0.258, 0.28)",+,0.269,"0.532 (0.506, 0.555)","0.638 (0.618, 0.652)","0.105 (0.081, 0.142)",0.105,+,761,UKB: + | AoU: +,++
phecode_009,Pseudomonas,ID,"0.664 (0.651, 0.677)","0.803 (0.788, 0.813)","0.14 (0.126, 0.151)",+,0.14,"0.629 (0.578, 0.67)","0.829 (0.787, 0.862)","0.202 (0.149, 0.25)",0.202,+,201,UKB: + | AoU: +,++
phecode_010,Corynebacterium,ID,"0.667 (0.643, 0.694)","0.742 (0.721, 0.763)","0.074 (0.058, 0.092)",+,0.074,"0.566 (0.522, 0.646)","0.627 (0.569, 0.671)","0.058 (-0.027, 0.119)",0.058,ns,128,UKB: + | AoU: ns,+ns
phecode_015,Clostridium,ID,"0.625 (0.613, 0.638)","0.703 (0.689, 0.716)","0.077 (0.066, 0.095)",+,0.077,"0.561 (0.538, 0.591)","0.785 (0.767, 0.806)","0.226 (0.193, 0.262)",0.226,+,771,UKB: + | AoU: +,++
phecode_015-2,Clostridium difficile,ID,"0.646 (0.634, 0.658)","0.732 (0.718, 0.749)","0.086 (0.067, 0.096)",+,0.086,"0.569 (0.543, 0.6)","0.781 (0.765, 0.803)","0.216 (0.179, 0.254)",0.216,+,714,UKB: + | AoU: +,++
phecode_019,Treponema,ID,"0.566 (0.513, 0.609)","0.777 (0.746, 0.812)","0.214 (0.176, 0.253)",+,0.214,"0.613 (0.588, 0.634)","0.678 (0.654, 0.704)","0.066 (0.027, 0.102)",0.066,+,574,UKB: + | AoU: +,++
phecode_020,Borrelia,ID,"0.465 (0.445, 0.485)","0.677 (0.657, 0.699)","0.214 (0.179, 0.244)",+,0.214,"0.619 (0.572, 0.643)","0.674 (0.65, 0.697)","0.06 (0.024, 0.091)",0.06,+,453,UKB: + | AoU: +,++
phecode_020-1,Lyme disease,ID,"0.462 (0.442, 0.487)","0.679 (0.659, 0.701)","0.215 (0.184, 0.24)",+,0.215,"0.633 (0.59, 0.658)","0.682 (0.654, 0.707)","0.05 (0.022, 0.082)",0.05,+,415,UKB: + | AoU: +,++
phecode_025,Enterococcus,ID,"0.681 (0.656, 0.707)","0.762 (0.742, 0.784)","0.081 (0.048, 0.114)",+,0.081,"0.608 (0.584, 0.628)","0.828 (0.808, 0.846)","0.218 (0.197, 0.247)",0.218,+,662,UKB: + | AoU: +,++
phecode_050,Enterovirus,ID,"0.511 (0.471, 0.558)","0.61 (0.58, 0.635)","0.1 (0.055, 0.142)",+,0.1,"0.538 (0.503, 0.583)","0.692 (0.638, 0.73)","0.153 (0.105, 0.227)",0.153,+,210,UKB: + | AoU: +,++
phecode_052,Herpesvirus,ID,"0.553 (0.55, 0.557)","0.672 (0.668, 0.675)","0.119 (0.116, 0.121)",+,0.119,"0.576 (0.564, 0.586)","0.579 (0.57, 0.589)","0.004 (-0.015, 0.025)",0.004,ns,3046,UKB: + | AoU: ns,+ns
phecode_052-1,Herpes simplex,ID,"0.599 (0.594, 0.606)","0.717 (0.709, 0.723)","0.117 (0.112, 0.125)",+,0.117,"0.615 (0.598, 0.627)","0.604 (0.593, 0.616)","-0.012 (-0.031, 0.014)",-0.012,ns,2221,UKB: + | AoU: ns,+ns
phecode_052-3,Varicella zoster virus,ID,"0.564 (0.561, 0.568)","0.672 (0.669, 0.675)","0.108 (0.105, 0.111)",+,0.108,"0.611 (0.591, 0.637)","0.685 (0.666, 0.714)","0.074 (0.06, 0.093)",0.074,+,761,UKB: + | AoU: +,++
phecode_052-31,Varicella [chickenpox],ID,"0.604 (0.577, 0.626)","0.665 (0.646, 0.685)","0.062 (0.04, 0.08)",+,0.062,"0.562 (0.517, 0.598)","0.515 (0.445, 0.557)","-0.051 (-0.13, 0.01)",-0.051,ns,182,UKB: + | AoU: ns,+ns
phecode_052-32,Herpes zoster,ID,"0.569 (0.565, 0.572)","0.674 (0.671, 0.676)","0.105 (0.102, 0.107)",+,0.105,"0.654 (0.633, 0.677)","0.735 (0.717, 0.762)","0.081 (0.059, 0.097)",0.081,+,609,UKB: + | AoU: +,++
phecode_052-4,Infectious mononucleosis,ID,"0.557 (0.517, 0.605)","0.613 (0.582, 0.651)","0.053 (0.009, 0.104)",+,0.053,"0.627 (0.556, 0.683)","0.717 (0.666, 0.783)","0.091 (0.004, 0.168)",0.091,+,135,UKB: + | AoU: +,++
phecode_052-5,Cytomegalovirus [CMV],ID,"0.45 (0.42, 0.491)","0.684 (0.64, 0.723)","0.231 (0.195, 0.283)",+,0.231,"0.616 (0.576, 0.657)","0.877 (0.839, 0.907)","0.258 (0.211, 0.322)",0.258,+,210,UKB: + | AoU: +,++
phecode_054,Hepatovirus,ID,"0.549 (0.528, 0.57)","0.423 (0.404, 0.441)","-0.125 (-0.153, -0.099)",-,-0.125,"0.621 (0.604, 0.64)","0.309 (0.291, 0.325)","-0.313 (-0.341, -0.288)",-0.313,-,1509,UKB: - | AoU: -,--
phecode_054-2,Hepatitis B,ID,"0.554 (0.524, 0.583)","0.41 (0.36, 0.451)","-0.146 (-0.195, -0.1)",-,-0.146,"0.58 (0.542, 0.615)","0.294 (0.266, 0.328)","-0.286 (-0.341, -0.239)",-0.286,-,340,UKB: - | AoU: -,--
phecode_054-3,Hepatitis C,ID,"0.633 (0.591, 0.66)","0.66 (0.63, 0.704)","0.028 (-0.014, 0.087)",ns,0.028,"0.661 (0.64, 0.682)","0.632 (0.614, 0.656)","-0.029 (-0.057, -0.002)",-0.029,-,1099,UKB: ns | AoU: -,ns-
phecode_054-31,Chronic hepatitis C,ID,"0.641 (0.606, 0.67)","0.763 (0.733, 0.791)","0.122 (0.075, 0.168)",+,0.122,"0.66 (0.639, 0.681)","0.732 (0.713, 0.747)","0.073 (0.051, 0.097)",0.073,+,1100,UKB: + | AoU: +,++
phecode_056,Human papillomavirus,ID,"0.466 (0.462, 0.47)","0.682 (0.679, 0.686)","0.217 (0.21, 0.222)",+,0.217,"0.549 (0.536, 0.562)","0.64 (0.628, 0.65)","0.09 (0.07, 0.113)",0.09,+,3184,UKB: + | AoU: +,++
phecode_056-1,Plantar wart,ID,"0.526 (0.519, 0.532)","0.696 (0.69, 0.702)","0.169 (0.162, 0.18)",+,0.169,"0.548 (0.521, 0.585)","0.676 (0.644, 0.701)","0.127 (0.075, 0.179)",0.127,+,586,UKB: + | AoU: +,++
phecode_057,Retrovirus,ID,"0.776 (0.74, 0.796)","0.791 (0.764, 0.826)","0.019 (-0.016, 0.066)",ns,0.019,"0.666 (0.638, 0.689)","0.646 (0.628, 0.67)","-0.022 (-0.049, 0.019)",-0.022,ns,508,UKB: ns | AoU: ns,nsns
phecode_057-1,Human immunodeficiency virus,ID,"0.773 (0.747, 0.809)","0.793 (0.758, 0.825)","0.018 (-0.024, 0.051)",ns,0.018,"0.668 (0.639, 0.689)","0.644 (0.624, 0.664)","-0.026 (-0.054, 0.016)",-0.026,ns,504,UKB: ns | AoU: ns,nsns
phecode_058,Pneumoviridae,ID,"0.62 (0.583, 0.657)","0.726 (0.695, 0.772)","0.109 (0.062, 0.153)",+,0.109,"0.595 (0.571, 0.64)","0.793 (0.767, 0.821)","0.2 (0.155, 0.235)",0.2,+,327,UKB: + | AoU: +,++
phecode_058-1,Respiratory syncytial virus,ID,"0.616 (0.579, 0.655)","0.729 (0.68, 0.773)","0.114 (0.066, 0.159)",+,0.114,"0.581 (0.551, 0.628)","0.788 (0.758, 0.818)","0.207 (0.16, 0.248)",0.207,+,285,UKB: + | AoU: +,++
phecode_059,Coronavirus,ID,"0.31 (0.279, 0.341)","0.605 (0.558, 0.636)","0.294 (0.255, 0.332)",+,0.294,"0.526 (0.514, 0.53)","0.622 (0.613, 0.629)","0.096 (0.089, 0.111)",0.096,+,10035,UKB: + | AoU: +,++
phecode_059-1,COVID-19*,ID,"0.235 (0.201, 0.264)","0.587 (0.524, 0.626)","0.353 (0.288, 0.403)",+,0.353,"0.526 (0.516, 0.532)","0.619 (0.609, 0.626)","0.092 (0.083, 0.107)",0.092,+,9725,UKB: + | AoU: +,++
phecode_061,Influenza virus,ID,"0.532 (0.522, 0.539)","0.675 (0.668, 0.686)","0.143 (0.131, 0.154)",+,0.143,"0.575 (0.563, 0.589)","0.608 (0.597, 0.62)","0.032 (0.016, 0.051)",0.032,+,2689,UKB: + | AoU: +,++
phecode_070,Candidiasis,ID,"0.576 (0.574, 0.58)","0.719 (0.715, 0.722)","0.143 (0.138, 0.146)",+,0.143,"0.635 (0.627, 0.646)","0.668 (0.658, 0.681)","0.033 (0.014, 0.048)",0.033,+,4568,UKB: + | AoU: +,++
phecode_074,Aspergillosis,ID,"0.593 (0.556, 0.623)","0.814 (0.791, 0.834)","0.221 (0.193, 0.26)",+,0.221,"0.596 (0.518, 0.643)","0.853 (0.815, 0.888)","0.261 (0.2, 0.332)",0.261,+,133,UKB: + | AoU: +,++
phecode_084,Parasites,ID,"0.581 (0.569, 0.596)","0.693 (0.683, 0.701)","0.112 (0.1, 0.124)",+,0.112,"0.615 (0.582, 0.639)","0.646 (0.633, 0.667)","0.031 (0.005, 0.059)",0.031,+,1017,UKB: + | AoU: +,++
phecode_084-4,Trichomoniasis,ID,"0.734 (0.714, 0.755)","0.849 (0.838, 0.859)","0.115 (0.097, 0.138)",+,0.115,"0.795 (0.776, 0.816)","0.695 (0.671, 0.722)","-0.101 (-0.132, -0.066)",-0.101,-,476,UKB: + | AoU: -,+-
phecode_086,"Pediculosis, acariasis and other infestations",ID,"0.546 (0.533, 0.562)","0.709 (0.698, 0.719)","0.163 (0.143, 0.176)",+,0.163,"0.551 (0.527, 0.591)","0.658 (0.631, 0.691)","0.107 (0.04, 0.145)",0.107,+,494,UKB: + | AoU: +,++
phecode_088,Sexually transmitted disease,ID,"0.646 (0.634, 0.661)","0.74 (0.727, 0.749)","0.094 (0.082, 0.104)",+,0.094,"0.654 (0.641, 0.669)","0.641 (0.623, 0.655)","-0.014 (-0.038, 0.004)",-0.014,ns,2433,UKB: + | AoU: ns,+ns
phecode_089,Infections,ID,"0.495 (0.493, 0.497)","0.676 (0.674, 0.677)","0.181 (0.179, 0.183)",+,0.181,"0.542 (0.538, 0.548)","0.553 (0.55, 0.559)","0.01 (0.002, 0.02)",0.01,+,22130,UKB: + | AoU: +,++
phecode_089-1,Bacterial infections,ID,"0.556 (0.553, 0.559)","0.644 (0.641, 0.647)","0.088 (0.085, 0.093)",+,0.088,"0.555 (0.549, 0.561)","0.585 (0.578, 0.59)","0.031 (0.018, 0.039)",0.031,+,13209,UKB: + | AoU: +,++
phecode_089-2,Viral infections,ID,"0.494 (0.492, 0.496)","0.68 (0.678, 0.682)","0.186 (0.183, 0.188)",+,0.186,"0.534 (0.529, 0.539)","0.596 (0.591, 0.602)","0.061 (0.054, 0.071)",0.061,+,17822,UKB: + | AoU: +,++
phecode_089-3,Fungal infections,ID,"0.492 (0.49, 0.495)","0.684 (0.682, 0.686)","0.192 (0.189, 0.195)",+,0.192,"0.522 (0.517, 0.53)","0.648 (0.642, 0.656)","0.125 (0.118, 0.132)",0.125,+,9317,UKB: + | AoU: +,++
phecode_091,Gangrene,ID,"0.637 (0.606, 0.687)","0.725 (0.691, 0.769)","0.089 (0.056, 0.128)",+,0.089,"0.591 (0.574, 0.615)","0.732 (0.702, 0.756)","0.142 (0.111, 0.161)",0.142,+,955,UKB: + | AoU: +,++
phecode_092,"Bacteremia, Sepsis, and SIRS",ID,"0.652 (0.647, 0.656)","0.734 (0.729, 0.738)","0.082 (0.077, 0.086)",+,0.082,"0.572 (0.564, 0.582)","0.733 (0.725, 0.741)","0.16 (0.144, 0.17)",0.16,+,5127,UKB: + | AoU: +,++
phecode_092-1,Systemic inflammatory response syndrome,ID,"0.659 (0.636, 0.681)","0.757 (0.737, 0.779)","0.097 (0.076, 0.124)",+,0.097,"0.539 (0.521, 0.57)","0.737 (0.716, 0.76)","0.199 (0.164, 0.22)",0.199,+,812,UKB: + | AoU: +,++
phecode_092-2,Sepsis,ID,"0.652 (0.648, 0.658)","0.734 (0.73, 0.738)","0.082 (0.077, 0.086)",+,0.082,"0.57 (0.563, 0.579)","0.732 (0.723, 0.741)","0.162 (0.146, 0.173)",0.162,+,4791,UKB: + | AoU: +,++
phecode_092-8,Bacteremia,ID,"0.659 (0.582, 0.733)","0.818 (0.766, 0.867)","0.163 (0.069, 0.232)",+,0.163,"0.587 (0.572, 0.615)","0.769 (0.751, 0.789)","0.182 (0.166, 0.201)",0.182,+,1641,UKB: + | AoU: +,++
phecode_095,Sequela of infection,ID,"0.596 (0.584, 0.609)","0.714 (0.701, 0.729)","0.119 (0.103, 0.133)",+,0.119,"0.577 (0.556, 0.595)","0.688 (0.676, 0.699)","0.11 (0.094, 0.135)",0.11,+,2580,UKB: + | AoU: +,++
phecode_096,Contact or exposure to infectious agent,ID,"0.418 (0.402, 0.433)","0.664 (0.654, 0.677)","0.246 (0.227, 0.266)",+,0.246,"0.511 (0.508, 0.515)","0.623 (0.619, 0.629)","0.111 (0.106, 0.119)",0.111,+,26942,UKB: + | AoU: +,++
phecode_097,Drug resistant microorganisms,ID,"0.571 (0.552, 0.585)","0.78 (0.765, 0.791)","0.209 (0.193, 0.223)",+,0.209,"0.586 (0.564, 0.606)","0.752 (0.736, 0.778)","0.166 (0.134, 0.196)",0.166,+,1104,UKB: + | AoU: +,++
phecode_097-1,Methicillin resistant Staphylococcus aureus,ID,"0.572 (0.547, 0.592)","0.783 (0.766, 0.796)","0.212 (0.187, 0.231)",+,0.212,"0.59 (0.569, 0.612)","0.758 (0.744, 0.783)","0.169 (0.14, 0.198)",0.169,+,1092,UKB: + | AoU: +,++
phecode_098,Carrier or suspected carrier of infectious diseases,ID,"0.589 (0.58, 0.599)","0.742 (0.732, 0.751)","0.152 (0.14, 0.164)",+,0.152,"0.674 (0.652, 0.698)","0.499 (0.472, 0.524)","-0.179 (-0.217, -0.132)",-0.179,-,754,UKB: + | AoU: -,+-
phecode_098-2,Carrier or suspected carrier of Staphylococcus aureus,ID,"0.481 (0.432, 0.546)","0.786 (0.753, 0.822)","0.305 (0.252, 0.357)",+,0.305,"0.559 (0.514, 0.601)","0.757 (0.719, 0.776)","0.196 (0.141, 0.233)",0.196,+,281,UKB: + | AoU: +,++
phecode_099,Lab findings related to infections,ID,"0.635 (0.628, 0.64)","0.741 (0.737, 0.745)","0.106 (0.103, 0.111)",+,0.106,"0.58 (0.556, 0.606)","0.65 (0.628, 0.679)","0.071 (0.032, 0.111)",0.071,+,728,UKB: + | AoU: +,++
phecode_100,Malignant neoplasm of the head and neck,Neoplasms,"0.627 (0.618, 0.638)","0.679 (0.669, 0.69)","0.051 (0.039, 0.061)",+,0.051,"0.725 (0.694, 0.754)","0.736 (0.712, 0.769)","0.013 (-0.026, 0.04)",0.013,ns,269,UKB: + | AoU: ns,+ns
phecode_100-1,Malignant neoplasm of the oral cavity,Neoplasms,"0.605 (0.584, 0.622)","0.674 (0.649, 0.7)","0.069 (0.047, 0.092)",+,0.069,"0.724 (0.686, 0.761)","0.723 (0.654, 0.775)","-0.002 (-0.049, 0.04)",-0.002,ns,144,UKB: + | AoU: ns,+ns
phecode_100-6,Malignant neoplasm of the larynx,Neoplasms,"0.757 (0.733, 0.791)","0.827 (0.799, 0.855)","0.07 (0.04, 0.088)",+,0.07,"0.764 (0.725, 0.799)","0.803 (0.763, 0.84)","0.038 (0.014, 0.066)",0.038,+,106,UKB: + | AoU: +,++
phecode_101,Malignant neoplasm of the digestive organs,Neoplasms,"0.668 (0.663, 0.672)","0.701 (0.696, 0.706)","0.033 (0.029, 0.036)",+,0.033,"0.693 (0.678, 0.704)","0.725 (0.703, 0.737)","0.031 (0.023, 0.042)",0.031,+,1653,UKB: + | AoU: +,++
phecode_101-2,Malignant neoplasm of stomach,Neoplasms,"0.708 (0.695, 0.719)","0.754 (0.738, 0.765)","0.046 (0.032, 0.058)",+,0.046,"0.67 (0.63, 0.709)","0.695 (0.664, 0.757)","0.028 (-0.01, 0.084)",0.028,ns,137,UKB: + | AoU: ns,+ns
phecode_101-4,Malignant neoplasm of the colon and rectum,Neoplasms,"0.666 (0.659, 0.672)","0.675 (0.668, 0.681)","0.009 (0.005, 0.014)",+,0.009,"0.697 (0.672, 0.716)","0.727 (0.701, 0.754)","0.031 (0.015, 0.042)",0.031,+,617,UKB: + | AoU: +,++
phecode_101-41,Malignant neoplasm of the colon,Neoplasms,"0.666 (0.661, 0.672)","0.678 (0.672, 0.683)","0.011 (0.006, 0.017)",+,0.011,"0.698 (0.674, 0.723)","0.733 (0.713, 0.753)","0.036 (0.017, 0.051)",0.036,+,456,UKB: + | AoU: +,++
phecode_101-42,Malignant neoplasm of the rectum,Neoplasms,"0.668 (0.656, 0.682)","0.668 (0.656, 0.678)","0 (-0.009, 0.01)",ns,0,"0.704 (0.66, 0.731)","0.771 (0.737, 0.811)","0.068 (0.038, 0.1)",0.068,+,185,UKB: ns | AoU: +,ns+
phecode_101-5,Malignant neoplasm of the anus and anal canal,Neoplasms,"0.594 (0.556, 0.624)","0.646 (0.612, 0.683)","0.054 (0.01, 0.088)",+,0.054,"0.66 (0.601, 0.715)","0.682 (0.634, 0.753)","0.023 (-0.046, 0.086)",0.023,ns,108,UKB: + | AoU: ns,+ns
phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,Neoplasms,"0.693 (0.678, 0.711)","0.81 (0.798, 0.827)","0.117 (0.098, 0.132)",+,0.117,"0.663 (0.627, 0.704)","0.828 (0.794, 0.864)","0.171 (0.129, 0.202)",0.171,+,190,UKB: + | AoU: +,++
phecode_101-61,Malignant neoplasm of the liver,Neoplasms,"0.733 (0.707, 0.753)","0.867 (0.848, 0.89)","0.134 (0.11, 0.154)",+,0.134,"0.653 (0.607, 0.693)","0.818 (0.769, 0.859)","0.166 (0.128, 0.222)",0.166,+,163,UKB: + | AoU: +,++
phecode_101-8,Malignant neoplasm of the pancreas,Neoplasms,"0.685 (0.674, 0.698)","0.801 (0.789, 0.809)","0.115 (0.105, 0.126)",+,0.115,"0.724 (0.688, 0.752)","0.739 (0.699, 0.763)","0.015 (-0.022, 0.042)",0.015,ns,261,UKB: + | AoU: ns,+ns
phecode_102,Malignant neoplasm of the thoracic and respiratory organs,Neoplasms,"0.684 (0.678, 0.69)","0.81 (0.804, 0.815)","0.125 (0.12, 0.132)",+,0.125,"0.71 (0.697, 0.724)","0.774 (0.76, 0.789)","0.065 (0.047, 0.077)",0.065,+,1269,UKB: + | AoU: +,++
phecode_102-1,Malignant neoplasm of the of bronchus and lung,Neoplasms,"0.689 (0.683, 0.699)","0.823 (0.816, 0.829)","0.134 (0.125, 0.142)",+,0.134,"0.72 (0.705, 0.737)","0.799 (0.782, 0.814)","0.08 (0.062, 0.096)",0.08,+,869,UKB: + | AoU: +,++
phecode_103,Malignant neoplasm of the skin,Neoplasms,"0.656 (0.652, 0.66)","0.688 (0.684, 0.691)","0.032 (0.029, 0.035)",+,0.032,"0.673 (0.665, 0.687)","0.709 (0.702, 0.721)","0.037 (0.032, 0.041)",0.037,+,4816,UKB: + | AoU: +,++
phecode_103-1,Melanomas of skin,Neoplasms,"0.604 (0.597, 0.611)","0.636 (0.627, 0.645)","0.032 (0.025, 0.041)",+,0.032,"0.717 (0.69, 0.741)","0.759 (0.734, 0.776)","0.042 (0.026, 0.057)",0.042,+,646,UKB: + | AoU: +,++
phecode_103-2,Keratinocyte carcinoma,Neoplasms,"0.651 (0.647, 0.656)","0.756 (0.753, 0.76)","0.106 (0.103, 0.109)",+,0.106,"0.781 (0.771, 0.791)","0.815 (0.805, 0.83)","0.033 (0.024, 0.042)",0.033,+,1943,UKB: + | AoU: +,++
phecode_103-21,Basal cell carcinoma,Neoplasms,"0.642 (0.638, 0.646)","0.757 (0.754, 0.762)","0.116 (0.111, 0.12)",+,0.116,"0.778 (0.769, 0.788)","0.813 (0.803, 0.826)","0.035 (0.026, 0.046)",0.035,+,1468,UKB: + | AoU: +,++
phecode_103-22,Squamous cell carcinoma of the skin,Neoplasms,"0.734 (0.724, 0.745)","0.798 (0.787, 0.808)","0.064 (0.056, 0.076)",+,0.064,"0.817 (0.802, 0.833)","0.86 (0.844, 0.876)","0.043 (0.033, 0.055)",0.043,+,931,UKB: + | AoU: +,++
phecode_103-3,Carcinoma in situ of skin,Neoplasms,"0.71 (0.703, 0.716)","0.774 (0.767, 0.779)","0.064 (0.056, 0.071)",+,0.064,"0.832 (0.819, 0.846)","0.887 (0.876, 0.899)","0.055 (0.043, 0.066)",0.055,+,599,UKB: + | AoU: +,++
phecode_104,Malignant sarcoma-related cancers,Neoplasms,"0.587 (0.575, 0.6)","0.608 (0.595, 0.62)","0.02 (0.008, 0.03)",+,0.02,"0.61 (0.604, 0.616)","0.599 (0.59, 0.61)","-0.011 (-0.018, -0.005)",-0.011,-,6718,UKB: + | AoU: -,+-
phecode_104-1,Malignant neoplam of the bone and/or cartilage,Neoplasms,"0.574 (0.556, 0.605)","0.63 (0.597, 0.661)","0.055 (0.033, 0.083)",+,0.055,"0.638 (0.609, 0.668)","0.795 (0.771, 0.832)","0.159 (0.116, 0.215)",0.159,+,287,UKB: + | AoU: +,++
phecode_104-3,Malignant neoplasm of other connective and soft tissue,Neoplasms,"0.582 (0.568, 0.596)","0.616 (0.594, 0.633)","0.033 (0.015, 0.052)",+,0.033,"0.609 (0.602, 0.616)","0.594 (0.584, 0.606)","-0.015 (-0.022, -0.008)",-0.015,-,6599,UKB: + | AoU: -,+-
phecode_105,Malignant neoplasm of the breast,Neoplasms,"0.752 (0.749, 0.755)","0.75 (0.747, 0.753)","-0.002 (-0.004, 0)",ns,-0.002,"0.788 (0.78, 0.8)","0.777 (0.766, 0.788)","-0.011 (-0.026, 0.003)",-0.011,ns,1490,UKB: ns | AoU: ns,nsns
phecode_105-1,"Malignant neoplasm of the breast, female",Neoplasms,"0.522 (0.511, 0.527)","0.615 (0.608, 0.621)","0.094 (0.088, 0.101)",+,0.094,"0.707 (0.693, 0.724)","0.718 (0.704, 0.733)","0.009 (-0.011, 0.031)",0.009,ns,1029,UKB: + | AoU: ns,+ns
phecode_106,Gynecological malignant neoplasms,Neoplasms,"0.57 (0.562, 0.58)","0.574 (0.563, 0.583)","0.004 (-0.006, 0.018)",ns,0.004,"0.59 (0.569, 0.606)","0.654 (0.637, 0.68)","0.064 (0.047, 0.087)",0.064,+,1041,UKB: ns | AoU: +,ns+
phecode_106-1,Malignant neoplasm of external female genital organs and cervix,Neoplasms,"0.553 (0.536, 0.571)","0.576 (0.559, 0.595)","0.022 (0.002, 0.043)",+,0.022,"0.518 (0.495, 0.547)","0.675 (0.649, 0.717)","0.159 (0.121, 0.202)",0.159,+,411,UKB: + | AoU: +,++
phecode_106-13,Malignant neoplasm of the cervix,Neoplasms,"0.647 (0.627, 0.672)","0.621 (0.597, 0.646)","-0.025 (-0.059, -0.004)",-,-0.025,"0.534 (0.513, 0.569)","0.666 (0.641, 0.712)","0.134 (0.099, 0.191)",0.134,+,345,UKB: - | AoU: +,-+
phecode_106-2,Malignant neoplasm of the uterus,Neoplasms,"0.603 (0.593, 0.616)","0.627 (0.612, 0.639)","0.023 (0.007, 0.043)",+,0.023,"0.614 (0.589, 0.649)","0.679 (0.642, 0.72)","0.064 (0.028, 0.096)",0.064,+,342,UKB: + | AoU: +,++
phecode_106-21,Malignant neoplasm of endometrium,Neoplasms,"0.606 (0.591, 0.618)","0.631 (0.615, 0.648)","0.025 (0.009, 0.049)",+,0.025,"0.656 (0.63, 0.692)","0.709 (0.653, 0.741)","0.053 (0.015, 0.087)",0.053,+,246,UKB: + | AoU: +,++
phecode_106-3,Malignant neoplasm of the ovary,Neoplasms,"0.602 (0.59, 0.616)","0.624 (0.609, 0.641)","0.022 (0.008, 0.037)",+,0.022,"0.621 (0.588, 0.655)","0.654 (0.614, 0.7)","0.034 (0.002, 0.081)",0.034,+,281,UKB: + | AoU: +,++
phecode_107,Malignant neoplasm of male genitalia,Neoplasms,"0.68 (0.674, 0.686)","0.687 (0.681, 0.693)","0.007 (0.005, 0.009)",+,0.007,"0.756 (0.743, 0.77)","0.747 (0.733, 0.759)","-0.009 (-0.021, 0.003)",-0.009,ns,1754,UKB: + | AoU: ns,+ns
phecode_107-2,Malignant neoplasm of the prostate,Neoplasms,"0.685 (0.681, 0.688)","0.692 (0.687, 0.695)","0.006 (0.005, 0.008)",+,0.006,"0.765 (0.755, 0.776)","0.838 (0.828, 0.849)","0.073 (0.068, 0.079)",0.073,+,1024,UKB: + | AoU: +,++
phecode_108,Malignant neoplasm of the urinary tract,Neoplasms,"0.727 (0.722, 0.735)","0.742 (0.735, 0.748)","0.014 (0.01, 0.017)",+,0.014,"0.719 (0.704, 0.736)","0.782 (0.767, 0.798)","0.064 (0.051, 0.077)",0.064,+,732,UKB: + | AoU: +,++
