endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_682,Other follicular disorders,Derm,"0.48 (0.475, 0.483)","0.653 (0.65, 0.656)","0.174 (0.17, 0.18)",+,0.174,"0.532 (0.524, 0.539)","0.634 (0.627, 0.641)","0.102 (0.093, 0.112)",0.102,+,8327,UKB: + | AoU: +,++
phecode_682-1,Cutaneous cyst,Derm,"0.445 (0.443, 0.448)","0.641 (0.638, 0.644)","0.196 (0.191, 0.2)",+,0.196,"0.586 (0.576, 0.596)","0.702 (0.691, 0.716)","0.116 (0.102, 0.127)",0.116,+,2928,UKB: + | AoU: +,++
phecode_682-11,Sebaceous cyst [Epidermal cyst],Derm,"0.443 (0.439, 0.447)","0.656 (0.653, 0.66)","0.213 (0.208, 0.217)",+,0.213,"0.587 (0.577, 0.598)","0.705 (0.693, 0.719)","0.119 (0.101, 0.129)",0.119,+,2813,UKB: + | AoU: +,++
phecode_682-12,Pilar and trichodermal cyst,Derm,"0.438 (0.434, 0.441)","0.647 (0.643, 0.65)","0.209 (0.204, 0.214)",+,0.209,"0.566 (0.549, 0.583)","0.686 (0.673, 0.705)","0.119 (0.101, 0.139)",0.119,+,1644,UKB: + | AoU: +,++
phecode_682-3,Hidradenitis suppurativa,Derm,"0.691 (0.657, 0.714)","0.761 (0.745, 0.784)","0.072 (0.046, 0.099)",+,0.072,"0.706 (0.672, 0.73)","0.74 (0.72, 0.775)","0.034 (0.001, 0.07)",0.034,+,433,UKB: + | AoU: +,++
phecode_682-4,Acne,Derm,"0.62 (0.606, 0.633)","0.71 (0.701, 0.717)","0.089 (0.078, 0.099)",+,0.089,"0.695 (0.68, 0.713)","0.613 (0.593, 0.63)","-0.083 (-0.115, -0.061)",-0.083,-,2185,UKB: + | AoU: -,+-
phecode_683,Nail disorders,Derm,"0.524 (0.519, 0.529)","0.699 (0.695, 0.702)","0.175 (0.171, 0.18)",+,0.175,"0.604 (0.596, 0.611)","0.696 (0.688, 0.703)","0.092 (0.082, 0.099)",0.092,+,5967,UKB: + | AoU: +,++
phecode_683-1,Ingrowing nail,Derm,"0.539 (0.532, 0.544)","0.717 (0.713, 0.722)","0.178 (0.172, 0.185)",+,0.178,"0.581 (0.566, 0.598)","0.734 (0.721, 0.752)","0.151 (0.138, 0.175)",0.151,+,1554,UKB: + | AoU: +,++
phecode_683-2,Nail dystrophy*,Derm,"0.554 (0.539, 0.572)","0.714 (0.702, 0.727)","0.161 (0.145, 0.177)",+,0.161,"0.654 (0.643, 0.669)","0.762 (0.753, 0.775)","0.108 (0.096, 0.127)",0.108,+,1644,UKB: + | AoU: +,++
phecode_683-4,Onycholysis*,Derm,"0.566 (0.541, 0.587)","0.705 (0.689, 0.724)","0.142 (0.112, 0.17)",+,0.142,"0.64 (0.608, 0.676)","0.753 (0.724, 0.789)","0.114 (0.066, 0.146)",0.114,+,281,UKB: + | AoU: +,++
