phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Signs/Symptoms,phecode_812-1,Generalized edema*,"0.624 (0.603, 0.638)","0.785 (0.77, 0.799)","0.16 (0.142, 0.182)"
Signs/Symptoms,phecode_812-2,Angioneurotic edema,"0.542 (0.528, 0.574)","0.662 (0.635, 0.685)","0.115 (0.083, 0.15)"
Signs/Symptoms,phecode_814,Jaundice (not of newborn),"0.604 (0.59, 0.621)","0.65 (0.63, 0.664)","0.043 (0.017, 0.066)"
Signs/Symptoms,phecode_815,Symptoms and signs concerning food and fluid intake,"0.559 (0.522, 0.589)","0.663 (0.62, 0.688)","0.101 (0.065, 0.145)"
Signs/Symptoms,phecode_817,Motion sickness,"0.627 (0.6, 0.653)","0.725 (0.691, 0.75)","0.098 (0.057, 0.138)"
Signs/Symptoms,phecode_819,General symptoms and other findings,"0.552 (0.549, 0.556)","0.568 (0.564, 0.572)","0.016 (0.012, 0.02)"
Signs/Symptoms,phecode_820,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,"0.59 (0.568, 0.614)","0.728 (0.705, 0.748)","0.139 (0.111, 0.16)"
Signs/Symptoms,phecode_821,Abnormality of red blood cells,"0.532 (0.527, 0.538)","0.575 (0.572, 0.58)","0.043 (0.036, 0.049)"
Signs/Symptoms,phecode_821-1,Precipitous drop in hematocrit,"0.643 (0.613, 0.666)","0.741 (0.708, 0.77)","0.099 (0.073, 0.129)"
Signs/Symptoms,phecode_822,"Other and nonspecific abnormal cytological, histological and immunological findings","0.864 (0.858, 0.872)","0.831 (0.821, 0.841)","-0.034 (-0.042, -0.025)"
Signs/Symptoms,phecode_822-8,Abnormal tumor markers,"0.864 (0.858, 0.872)","0.831 (0.821, 0.841)","-0.034 (-0.042, -0.025)"
Signs/Symptoms,phecode_823,Abnormal serum enzyme levels,"0.626 (0.621, 0.631)","0.597 (0.592, 0.604)","-0.029 (-0.036, -0.021)"
Signs/Symptoms,phecode_823-1,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],"0.535 (0.527, 0.546)","0.66 (0.65, 0.67)","0.126 (0.112, 0.14)"
Signs/Symptoms,phecode_823-2,Abnormal levels of other serum enzymes,"0.657 (0.651, 0.661)","0.605 (0.6, 0.614)","-0.051 (-0.059, -0.043)"
Signs/Symptoms,phecode_824,Other abnormalities of plasma proteins*,"0.64 (0.604, 0.692)","0.686 (0.632, 0.724)","0.041 (-0.027, 0.089)"
Signs/Symptoms,phecode_825,Elevated C-reactive protein (CRP),"0.539 (0.522, 0.562)","0.702 (0.685, 0.725)","0.163 (0.133, 0.186)"
Signs/Symptoms,phecode_826,Other abnormal immunological findings in serum,"0.569 (0.56, 0.58)","0.622 (0.607, 0.638)","0.053 (0.035, 0.071)"
Signs/Symptoms,phecode_826-3,Raised antibody titer*,"0.626 (0.61, 0.643)","0.693 (0.679, 0.706)","0.068 (0.049, 0.09)"
Signs/Symptoms,phecode_826-4,Other and unspecified nonspecific immunological findings,"0.634 (0.602, 0.67)","0.577 (0.539, 0.611)","-0.057 (-0.109, 0.002)"
Signs/Symptoms,phecode_827,Toxicology findings,"0.529 (0.508, 0.549)","0.651 (0.607, 0.683)","0.12 (0.071, 0.16)"
Signs/Symptoms,phecode_829,Nonspecific findings on examination of blood,"0.596 (0.592, 0.6)","0.656 (0.651, 0.66)","0.06 (0.057, 0.064)"
Signs/Symptoms,phecode_829-2,Abnormal level of blood mineral*,"0.569 (0.547, 0.592)","0.713 (0.696, 0.734)","0.143 (0.12, 0.166)"
Signs/Symptoms,phecode_830,Proteinuria,"0.595 (0.585, 0.606)","0.781 (0.768, 0.789)","0.186 (0.169, 0.198)"
Signs/Symptoms,phecode_831,Glycosuria,"0.531 (0.507, 0.568)","0.762 (0.724, 0.793)","0.232 (0.167, 0.275)"
Signs/Symptoms,phecode_832,Other abnormal findings in urine,"0.558 (0.54, 0.575)","0.707 (0.692, 0.724)","0.149 (0.133, 0.171)"
Signs/Symptoms,phecode_832-6,Pyuria*,"0.618 (0.586, 0.648)","0.752 (0.72, 0.78)","0.136 (0.094, 0.164)"
Signs/Symptoms,phecode_835,Cytology and pathology findings,"0.678 (0.671, 0.686)","0.647 (0.64, 0.656)","-0.031 (-0.041, -0.022)"
Signs/Symptoms,phecode_840,Allergy,"0.553 (0.548, 0.556)","0.629 (0.625, 0.634)","0.077 (0.071, 0.083)"
Signs/Symptoms,phecode_840-1,Food allergy,"0.581 (0.567, 0.592)","0.656 (0.646, 0.664)","0.076 (0.058, 0.094)"
Signs/Symptoms,phecode_840-11,Peanut allergy,"0.649 (0.608, 0.696)","0.684 (0.647, 0.722)","0.037 (-0.011, 0.09)"
Signs/Symptoms,phecode_840-12,Seafood allergy,"0.588 (0.564, 0.61)","0.615 (0.592, 0.633)","0.028 (-0.011, 0.06)"
Signs/Symptoms,phecode_840-2,Allergy to insects,"0.553 (0.549, 0.557)","0.626 (0.622, 0.63)","0.073 (0.067, 0.079)"
Signs/Symptoms,phecode_840-4,Latex allergy,"0.641 (0.597, 0.674)","0.618 (0.566, 0.653)","-0.024 (-0.086, 0.032)"
Signs/Symptoms,phecode_840-8,Allergies related to other diseases/symptoms,"0.55 (0.543, 0.556)","0.648 (0.642, 0.653)","0.098 (0.091, 0.106)"
Signs/Symptoms,phecode_840-9,Anaphylactic reaction,"0.604 (0.586, 0.625)","0.686 (0.658, 0.714)","0.084 (0.046, 0.116)"
Signs/Symptoms,phecode_841,Drug and medical agent allergy,"0.597 (0.592, 0.603)","0.685 (0.679, 0.691)","0.088 (0.08, 0.096)"
Signs/Symptoms,phecode_841-1,Allergy to other anti-infective agents,"0.58 (0.569, 0.592)","0.614 (0.599, 0.625)","0.032 (0.019, 0.05)"
Signs/Symptoms,phecode_841-11,Penicillin allergy,"0.583 (0.569, 0.599)","0.595 (0.575, 0.613)","0.011 (-0.007, 0.034)"
Signs/Symptoms,phecode_841-12,Allergy to antibiotic agent (excluding penicillin),"0.568 (0.548, 0.588)","0.691 (0.657, 0.718)","0.12 (0.092, 0.15)"
Signs/Symptoms,phecode_841-13,Allergy to sulfonamides,"0.637 (0.601, 0.668)","0.632 (0.603, 0.657)","-0.002 (-0.04, 0.024)"
Signs/Symptoms,phecode_841-4,Allergy to analgesic agent,"0.645 (0.624, 0.661)","0.705 (0.687, 0.72)","0.06 (0.04, 0.076)"
Signs/Symptoms,phecode_848,Nonspecific abnormal findings of other body structures,"0.63 (0.625, 0.633)","0.66 (0.655, 0.662)","0.029 (0.026, 0.034)"
Signs/Symptoms,phecode_848-2,Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echo),"0.694 (0.685, 0.706)","0.773 (0.761, 0.784)","0.078 (0.066, 0.086)"
Preg,phecode_900-1,Spontaneous abortion,"0.831 (0.822, 0.838)","0.854 (0.845, 0.861)","0.023 (0.019, 0.026)"
Preg,phecode_901,Abnormal products of conception,"0.836 (0.828, 0.843)","0.672 (0.65, 0.692)","-0.165 (-0.187, -0.142)"
Preg,phecode_901-3,Missed abortion,"0.823 (0.812, 0.833)","0.637 (0.608, 0.667)","-0.183 (-0.22, -0.153)"
Preg,phecode_904,Bleeding in pregnancy,"0.869 (0.862, 0.875)","0.911 (0.905, 0.918)","0.042 (0.034, 0.05)"
