phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Death,OMOP_4306655,All-Cause Death,"0.693 (0.685, 0.703)","0.809 (0.8, 0.816)","0.116 (0.106, 0.125)"
ID,phecode_002,Staphylococcus,"0.571 (0.562, 0.586)","0.769 (0.756, 0.779)","0.197 (0.18, 0.21)"
ID,phecode_002-1,Staphylococcus aureus,"0.571 (0.562, 0.586)","0.772 (0.758, 0.781)","0.2 (0.182, 0.213)"
ID,phecode_003,Escherichia coli,"0.591 (0.581, 0.603)","0.766 (0.756, 0.778)","0.175 (0.162, 0.187)"
ID,phecode_004,Streptococcus,"0.676 (0.669, 0.687)","0.509 (0.499, 0.519)","-0.167 (-0.184, -0.152)"
ID,phecode_004-1,Streptococcus pneumoniae,"0.623 (0.577, 0.664)","0.788 (0.751, 0.826)","0.158 (0.112, 0.221)"
ID,phecode_005,Mycobacteria,"0.55 (0.53, 0.568)","0.649 (0.631, 0.666)","0.098 (0.073, 0.127)"
ID,phecode_005-1,Mycobacterium tuberculosis,"0.517 (0.503, 0.538)","0.634 (0.608, 0.656)","0.112 (0.088, 0.142)"
ID,phecode_005-2,Nontuberculous mycobacteria,"0.669 (0.632, 0.698)","0.791 (0.761, 0.823)","0.118 (0.09, 0.164)"
ID,phecode_008,Helicobacter [H. pylori],"0.532 (0.507, 0.549)","0.638 (0.622, 0.651)","0.105 (0.085, 0.129)"
ID,phecode_009,Pseudomonas,"0.629 (0.588, 0.661)","0.829 (0.806, 0.856)","0.202 (0.168, 0.238)"
ID,phecode_010,Corynebacterium,"0.566 (0.526, 0.623)","0.627 (0.573, 0.661)","0.058 (-0.013, 0.116)"
ID,phecode_015,Clostridium,"0.561 (0.542, 0.584)","0.785 (0.775, 0.801)","0.226 (0.203, 0.244)"
ID,phecode_015-2,Clostridium difficile,"0.569 (0.547, 0.593)","0.781 (0.769, 0.798)","0.216 (0.19, 0.233)"
ID,phecode_019,Treponema,"0.613 (0.593, 0.632)","0.678 (0.658, 0.7)","0.066 (0.036, 0.096)"
ID,phecode_020,Borrelia,"0.619 (0.592, 0.635)","0.674 (0.654, 0.694)","0.06 (0.031, 0.09)"
ID,phecode_020-1,Lyme disease,"0.633 (0.606, 0.655)","0.682 (0.661, 0.702)","0.05 (0.025, 0.078)"
ID,phecode_025,Enterococcus,"0.608 (0.586, 0.625)","0.828 (0.811, 0.84)","0.218 (0.202, 0.241)"
ID,phecode_050,Enterovirus,"0.538 (0.505, 0.577)","0.692 (0.662, 0.724)","0.153 (0.108, 0.206)"
ID,phecode_052,Herpesvirus,"0.576 (0.566, 0.585)","0.579 (0.571, 0.588)","0.004 (-0.013, 0.018)"
ID,phecode_052-1,Herpes simplex,"0.615 (0.604, 0.627)","0.604 (0.594, 0.616)","-0.012 (-0.029, 0.009)"
ID,phecode_052-3,Varicella zoster virus,"0.611 (0.594, 0.631)","0.685 (0.669, 0.701)","0.074 (0.062, 0.089)"
ID,phecode_052-31,Varicella [chickenpox],"0.562 (0.524, 0.596)","0.515 (0.455, 0.548)","-0.051 (-0.118, -0.001)"
ID,phecode_052-32,Herpes zoster,"0.654 (0.635, 0.672)","0.735 (0.72, 0.748)","0.081 (0.068, 0.094)"
ID,phecode_052-4,Infectious mononucleosis,"0.627 (0.58, 0.682)","0.717 (0.674, 0.764)","0.091 (0.009, 0.146)"
ID,phecode_052-5,Cytomegalovirus [CMV],"0.616 (0.579, 0.646)","0.877 (0.847, 0.903)","0.258 (0.222, 0.306)"
ID,phecode_054,Hepatovirus,"0.621 (0.605, 0.635)","0.309 (0.297, 0.32)","-0.313 (-0.334, -0.29)"
ID,phecode_054-2,Hepatitis B,"0.58 (0.55, 0.609)","0.294 (0.269, 0.319)","-0.286 (-0.323, -0.246)"
ID,phecode_054-3,Hepatitis C,"0.661 (0.645, 0.673)","0.632 (0.618, 0.649)","-0.029 (-0.046, -0.006)"
ID,phecode_054-31,Chronic hepatitis C,"0.66 (0.645, 0.673)","0.732 (0.718, 0.744)","0.073 (0.056, 0.093)"
ID,phecode_056,Human papillomavirus,"0.549 (0.537, 0.561)","0.64 (0.629, 0.649)","0.09 (0.072, 0.108)"
ID,phecode_056-1,Plantar wart,"0.548 (0.526, 0.573)","0.676 (0.656, 0.699)","0.127 (0.085, 0.162)"
ID,phecode_057,Retrovirus,"0.666 (0.645, 0.683)","0.646 (0.63, 0.667)","-0.022 (-0.041, 0.009)"
ID,phecode_057-1,Human immunodeficiency virus,"0.668 (0.648, 0.685)","0.644 (0.627, 0.663)","-0.026 (-0.046, 0.004)"
ID,phecode_058,Pneumoviridae,"0.595 (0.573, 0.627)","0.793 (0.773, 0.818)","0.2 (0.169, 0.219)"
ID,phecode_058-1,Respiratory syncytial virus,"0.581 (0.557, 0.622)","0.788 (0.767, 0.815)","0.207 (0.171, 0.229)"
ID,phecode_059,Coronavirus,"0.526 (0.516, 0.53)","0.622 (0.618, 0.627)","0.096 (0.089, 0.108)"
ID,phecode_059-1,COVID-19*,"0.526 (0.517, 0.532)","0.619 (0.615, 0.625)","0.092 (0.084, 0.105)"
ID,phecode_061,Influenza virus,"0.575 (0.564, 0.585)","0.608 (0.598, 0.615)","0.032 (0.02, 0.051)"
ID,phecode_070,Candidiasis,"0.635 (0.628, 0.643)","0.668 (0.66, 0.677)","0.033 (0.018, 0.042)"
ID,phecode_074,Aspergillosis,"0.596 (0.53, 0.634)","0.853 (0.818, 0.881)","0.261 (0.209, 0.316)"
ID,phecode_084,Parasites,"0.615 (0.597, 0.634)","0.646 (0.635, 0.663)","0.031 (0.012, 0.054)"
ID,phecode_084-4,Trichomoniasis,"0.795 (0.778, 0.813)","0.695 (0.674, 0.719)","-0.101 (-0.129, -0.075)"
ID,phecode_086,"Pediculosis, acariasis and other infestations","0.551 (0.532, 0.584)","0.658 (0.636, 0.683)","0.107 (0.064, 0.139)"
ID,phecode_088,Sexually transmitted disease,"0.654 (0.643, 0.667)","0.641 (0.629, 0.652)","-0.014 (-0.034, 0.001)"
ID,phecode_089,Infections,"0.542 (0.539, 0.546)","0.553 (0.55, 0.558)","0.01 (0.004, 0.018)"
ID,phecode_089-1,Bacterial infections,"0.555 (0.551, 0.56)","0.585 (0.578, 0.589)","0.031 (0.02, 0.037)"
ID,phecode_089-2,Viral infections,"0.534 (0.531, 0.539)","0.596 (0.592, 0.6)","0.061 (0.055, 0.067)"
ID,phecode_089-3,Fungal infections,"0.522 (0.517, 0.528)","0.648 (0.643, 0.654)","0.125 (0.12, 0.131)"
ID,phecode_091,Gangrene,"0.591 (0.576, 0.61)","0.732 (0.709, 0.75)","0.142 (0.116, 0.158)"
ID,phecode_092,"Bacteremia, Sepsis, and SIRS","0.572 (0.566, 0.58)","0.733 (0.726, 0.74)","0.16 (0.149, 0.169)"
ID,phecode_092-1,Systemic inflammatory response syndrome,"0.539 (0.522, 0.558)","0.737 (0.725, 0.756)","0.199 (0.177, 0.22)"
ID,phecode_092-2,Sepsis,"0.57 (0.564, 0.578)","0.732 (0.726, 0.74)","0.162 (0.152, 0.171)"
ID,phecode_092-8,Bacteremia,"0.587 (0.573, 0.6)","0.769 (0.759, 0.779)","0.182 (0.167, 0.194)"
ID,phecode_095,Sequela of infection,"0.577 (0.564, 0.59)","0.688 (0.678, 0.698)","0.11 (0.096, 0.124)"
ID,phecode_096,Contact or exposure to infectious agent,"0.511 (0.509, 0.515)","0.623 (0.62, 0.628)","0.111 (0.107, 0.116)"
ID,phecode_097,Drug resistant microorganisms,"0.586 (0.568, 0.602)","0.752 (0.736, 0.766)","0.166 (0.141, 0.191)"
ID,phecode_097-1,Methicillin resistant Staphylococcus aureus,"0.59 (0.569, 0.605)","0.758 (0.744, 0.773)","0.169 (0.146, 0.196)"
ID,phecode_098,Carrier or suspected carrier of infectious diseases,"0.674 (0.654, 0.693)","0.499 (0.474, 0.519)","-0.179 (-0.215, -0.14)"
ID,phecode_098-2,Carrier or suspected carrier of Staphylococcus aureus,"0.559 (0.528, 0.599)","0.757 (0.728, 0.775)","0.196 (0.151, 0.219)"
ID,phecode_099,Lab findings related to infections,"0.58 (0.559, 0.6)","0.65 (0.63, 0.667)","0.071 (0.033, 0.097)"
Neoplasms,phecode_100,Malignant neoplasm of the head and neck,"0.725 (0.702, 0.753)","0.736 (0.713, 0.766)","0.013 (-0.014, 0.038)"
Neoplasms,phecode_100-1,Malignant neoplasm of the oral cavity,"0.724 (0.693, 0.757)","0.723 (0.67, 0.766)","-0.002 (-0.042, 0.031)"
Neoplasms,phecode_100-6,Malignant neoplasm of the larynx,"0.764 (0.732, 0.794)","0.803 (0.769, 0.832)","0.038 (0.016, 0.063)"
Neoplasms,phecode_101,Malignant neoplasm of the digestive organs,"0.693 (0.68, 0.702)","0.725 (0.71, 0.734)","0.031 (0.023, 0.04)"
Neoplasms,phecode_101-2,Malignant neoplasm of stomach,"0.67 (0.632, 0.7)","0.695 (0.671, 0.746)","0.028 (-0.008, 0.074)"
Neoplasms,phecode_101-4,Malignant neoplasm of the colon and rectum,"0.697 (0.674, 0.71)","0.727 (0.705, 0.742)","0.031 (0.02, 0.039)"
Neoplasms,phecode_101-41,Malignant neoplasm of the colon,"0.698 (0.676, 0.717)","0.733 (0.715, 0.752)","0.036 (0.024, 0.049)"
Neoplasms,phecode_101-42,Malignant neoplasm of the rectum,"0.704 (0.678, 0.729)","0.771 (0.744, 0.802)","0.068 (0.047, 0.094)"
Neoplasms,phecode_101-5,Malignant neoplasm of the anus and anal canal,"0.66 (0.627, 0.702)","0.682 (0.635, 0.74)","0.023 (-0.041, 0.083)"
Neoplasms,phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,"0.663 (0.632, 0.692)","0.828 (0.802, 0.852)","0.171 (0.14, 0.196)"
Neoplasms,phecode_101-61,Malignant neoplasm of the liver,"0.653 (0.617, 0.685)","0.818 (0.784, 0.848)","0.166 (0.14, 0.203)"
Neoplasms,phecode_101-8,Malignant neoplasm of the pancreas,"0.724 (0.698, 0.749)","0.739 (0.711, 0.76)","0.015 (-0.013, 0.036)"
Neoplasms,phecode_102,Malignant neoplasm of the thoracic and respiratory organs,"0.71 (0.697, 0.72)","0.774 (0.763, 0.785)","0.065 (0.052, 0.075)"
Neoplasms,phecode_102-1,Malignant neoplasm of the of bronchus and lung,"0.72 (0.705, 0.735)","0.799 (0.784, 0.813)","0.08 (0.068, 0.09)"
Neoplasms,phecode_103,Malignant neoplasm of the skin,"0.673 (0.666, 0.681)","0.709 (0.702, 0.717)","0.037 (0.033, 0.039)"
Neoplasms,phecode_103-1,Melanomas of skin,"0.717 (0.698, 0.736)","0.759 (0.739, 0.774)","0.042 (0.026, 0.051)"
Neoplasms,phecode_103-2,Keratinocyte carcinoma,"0.781 (0.774, 0.79)","0.815 (0.806, 0.825)","0.033 (0.025, 0.041)"
Neoplasms,phecode_103-21,Basal cell carcinoma,"0.778 (0.771, 0.787)","0.813 (0.804, 0.824)","0.035 (0.028, 0.043)"
Neoplasms,phecode_103-22,Squamous cell carcinoma of the skin,"0.817 (0.804, 0.829)","0.86 (0.85, 0.87)","0.043 (0.036, 0.052)"
Neoplasms,phecode_103-3,Carcinoma in situ of skin,"0.832 (0.822, 0.843)","0.887 (0.88, 0.895)","0.055 (0.046, 0.065)"
Neoplasms,phecode_104,Malignant sarcoma-related cancers,"0.61 (0.605, 0.616)","0.599 (0.593, 0.605)","-0.011 (-0.017, -0.005)"
Neoplasms,phecode_104-1,Malignant neoplam of the bone and/or cartilage,"0.638 (0.614, 0.667)","0.795 (0.774, 0.826)","0.159 (0.125, 0.193)"
Neoplasms,phecode_104-3,Malignant neoplasm of other connective and soft tissue,"0.609 (0.604, 0.615)","0.594 (0.588, 0.6)","-0.015 (-0.02, -0.009)"
Neoplasms,phecode_105,Malignant neoplasm of the breast,"0.788 (0.781, 0.796)","0.777 (0.769, 0.787)","-0.011 (-0.019, -0.002)"
Neoplasms,phecode_105-1,"Malignant neoplasm of the breast, female","0.707 (0.695, 0.72)","0.718 (0.705, 0.732)","0.009 (-0.006, 0.025)"
Neoplasms,phecode_106,Gynecological malignant neoplasms,"0.59 (0.574, 0.601)","0.654 (0.638, 0.669)","0.064 (0.05, 0.084)"
Neoplasms,phecode_106-1,Malignant neoplasm of external female genital organs and cervix,"0.518 (0.5, 0.54)","0.675 (0.656, 0.706)","0.159 (0.127, 0.197)"
Neoplasms,phecode_106-13,Malignant neoplasm of the cervix,"0.534 (0.515, 0.56)","0.666 (0.649, 0.705)","0.134 (0.102, 0.175)"
Neoplasms,phecode_106-2,Malignant neoplasm of the uterus,"0.614 (0.589, 0.644)","0.679 (0.65, 0.712)","0.064 (0.04, 0.093)"
Neoplasms,phecode_106-21,Malignant neoplasm of endometrium,"0.656 (0.635, 0.676)","0.709 (0.675, 0.737)","0.053 (0.017, 0.085)"
Neoplasms,phecode_106-3,Malignant neoplasm of the ovary,"0.621 (0.591, 0.646)","0.654 (0.624, 0.686)","0.034 (0.004, 0.073)"
Neoplasms,phecode_107,Malignant neoplasm of male genitalia,"0.756 (0.745, 0.766)","0.747 (0.735, 0.758)","-0.009 (-0.019, 0.001)"
Neoplasms,phecode_107-2,Malignant neoplasm of the prostate,"0.765 (0.756, 0.775)","0.838 (0.831, 0.847)","0.073 (0.069, 0.078)"
Neoplasms,phecode_108,Malignant neoplasm of the urinary tract,"0.719 (0.706, 0.734)","0.782 (0.769, 0.798)","0.064 (0.053, 0.074)"
Neoplasms,phecode_108-4,Malignant neoplasm of the kidney,"0.688 (0.664, 0.712)","0.777 (0.752, 0.798)","0.09 (0.067, 0.113)"
Neoplasms,phecode_108-41,"Malignant neoplasm of kidney, except pelvis","0.69 (0.667, 0.717)","0.783 (0.759, 0.804)","0.092 (0.064, 0.111)"
Neoplasms,phecode_108-5,Malignant neoplasm of the bladder,"0.774 (0.752, 0.795)","0.814 (0.795, 0.833)","0.042 (0.033, 0.049)"
Neoplasms,phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system","0.599 (0.572, 0.618)","0.693 (0.67, 0.709)","0.095 (0.068, 0.118)"
Neoplasms,phecode_109-3,Malignant neoplasm of brain,"0.623 (0.598, 0.651)","0.714 (0.676, 0.733)","0.09 (0.052, 0.114)"
Neoplasms,phecode_110,Malignant neoplasm of the endocrine glands,"0.579 (0.558, 0.598)","0.715 (0.688, 0.733)","0.135 (0.104, 0.166)"
Neoplasms,phecode_110-1,Malignant neoplasm of the thyroid,"0.589 (0.561, 0.618)","0.718 (0.686, 0.74)","0.125 (0.074, 0.167)"
Neoplasms,phecode_112,Malignant neoplasm of other and ill-defined sites,"0.603 (0.599, 0.606)","0.594 (0.59, 0.598)","-0.008 (-0.011, -0.005)"
Neoplasms,phecode_114,Neuroendocrine tumors,"0.649 (0.637, 0.664)","0.712 (0.693, 0.733)","0.06 (0.036, 0.083)"
Neoplasms,phecode_114-4,Carcinoid tumors,"0.677 (0.649, 0.737)","0.725 (0.68, 0.77)","0.043 (-0.031, 0.096)"
Neoplasms,phecode_114-6,Pheochromocytoma (including adrenal gland neoplasms),"0.636 (0.619, 0.652)","0.733 (0.715, 0.753)","0.098 (0.074, 0.121)"
Neoplasms,phecode_116,Secondary malignant neoplasm,"0.704 (0.696, 0.715)","0.769 (0.76, 0.775)","0.062 (0.054, 0.074)"
Neoplasms,phecode_116-1,Secondary malignancy of lymph nodes,"0.672 (0.656, 0.687)","0.778 (0.763, 0.792)","0.104 (0.086, 0.125)"
Neoplasms,phecode_116-2,Secondary malignancy of respiratory organs,"0.678 (0.662, 0.698)","0.841 (0.826, 0.853)","0.162 (0.143, 0.178)"
Neoplasms,phecode_116-3,Secondary malignant neoplasm of digestive systems,"0.686 (0.666, 0.705)","0.816 (0.79, 0.832)","0.128 (0.103, 0.154)"
Neoplasms,phecode_116-4,Secondary malignant neoplasm of liver,"0.687 (0.672, 0.706)","0.818 (0.805, 0.832)","0.129 (0.108, 0.154)"
Neoplasms,phecode_116-5,Secondary malignancy of brain/spine,"0.65 (0.626, 0.678)","0.84 (0.821, 0.865)","0.188 (0.166, 0.226)"
Neoplasms,phecode_116-6,Secondary malignancy of bone,"0.701 (0.682, 0.719)","0.842 (0.828, 0.854)","0.139 (0.122, 0.162)"
Neoplasms,phecode_120,Hemo onc - by cell of origin,"0.609 (0.601, 0.623)","0.642 (0.626, 0.658)","0.033 (0.019, 0.046)"
Neoplasms,phecode_120-1,Myeloid,"0.557 (0.545, 0.577)","0.617 (0.598, 0.639)","0.057 (0.039, 0.079)"
Neoplasms,phecode_120-2,Lymphoid,"0.696 (0.676, 0.714)","0.737 (0.718, 0.755)","0.04 (0.021, 0.062)"
Neoplasms,phecode_120-21,Mature B-cell,"0.72 (0.697, 0.735)","0.76 (0.74, 0.779)","0.041 (0.023, 0.063)"
Neoplasms,phecode_121,Leukemia,"0.691 (0.668, 0.713)","0.741 (0.714, 0.766)","0.049 (0.031, 0.079)"
Neoplasms,phecode_121-1,Acute leukemia,"0.642 (0.603, 0.691)","0.768 (0.734, 0.821)","0.123 (0.087, 0.172)"
Neoplasms,phecode_121-12,Acute myeloid leukemia,"0.663 (0.619, 0.713)","0.757 (0.708, 0.814)","0.094 (0.03, 0.149)"
Neoplasms,phecode_121-2,Chronic leukemia,"0.742 (0.711, 0.772)","0.753 (0.723, 0.791)","0.011 (-0.016, 0.04)"
Neoplasms,phecode_121-21,Chronic lymphoid leukemia,"0.75 (0.719, 0.78)","0.789 (0.762, 0.824)","0.04 (0.007, 0.074)"
Neoplasms,phecode_122,Lymphoma,"0.696 (0.677, 0.713)","0.726 (0.708, 0.746)","0.03 (0.012, 0.047)"
Neoplasms,phecode_122-1,Hodgkin lymphoma,"0.676 (0.634, 0.729)","0.738 (0.686, 0.77)","0.066 (0.012, 0.101)"
Neoplasms,phecode_122-2,Non-Hodgkin lymphoma,"0.696 (0.677, 0.713)","0.726 (0.707, 0.746)","0.03 (0.012, 0.046)"
Neoplasms,phecode_122-21,Follicular lymphoma,"0.729 (0.695, 0.763)","0.805 (0.76, 0.832)","0.073 (0.026, 0.116)"
Neoplasms,phecode_122-22,Diffuse large B-cell lymphoma*,"0.69 (0.652, 0.733)","0.786 (0.752, 0.826)","0.096 (0.056, 0.141)"
Neoplasms,phecode_124,Myeloproliferative disorder,"0.573 (0.555, 0.591)","0.628 (0.606, 0.648)","0.056 (0.032, 0.072)"
Neoplasms,phecode_124-5,Essential thrombocythemia,"0.546 (0.526, 0.572)","0.603 (0.582, 0.625)","0.057 (0.022, 0.092)"
Neoplasms,phecode_124-7,Chronic myeloproliferative disease,"0.692 (0.667, 0.718)","0.263 (0.236, 0.282)","-0.426 (-0.471, -0.388)"
Neoplasms,phecode_125,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue","0.606 (0.597, 0.62)","0.645 (0.629, 0.662)","0.038 (0.022, 0.054)"
Neoplasms,phecode_130,"Cancer (solid tumor, excluding BCC)","0.691 (0.686, 0.697)","0.696 (0.692, 0.702)","0.005 (0.002, 0.009)"
Neoplasms,phecode_132,Sequelae of cancer,"0.646 (0.637, 0.655)","0.781 (0.77, 0.791)","0.136 (0.121, 0.145)"
Neoplasms,phecode_135,Benign neoplasm of the head and neck,"0.566 (0.546, 0.585)","0.693 (0.674, 0.713)","0.123 (0.102, 0.153)"
Neoplasms,phecode_135-1,Benign neoplasm of the oral cavity,"0.605 (0.572, 0.64)","0.673 (0.643, 0.718)","0.072 (0.034, 0.099)"
Neoplasms,phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,"0.556 (0.526, 0.582)","0.712 (0.684, 0.738)","0.154 (0.123, 0.203)"
Neoplasms,phecode_135-6,Benign neoplasm of vocal cord or larynx,"0.657 (0.613, 0.693)","0.774 (0.734, 0.804)","0.116 (0.062, 0.159)"
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,"0.655 (0.651, 0.66)","0.688 (0.685, 0.694)","0.033 (0.028, 0.037)"
Neoplasms,phecode_136-2,Benign neoplasm of stomach,"0.64 (0.628, 0.652)","0.768 (0.756, 0.779)","0.128 (0.117, 0.142)"
Neoplasms,phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal","0.658 (0.653, 0.664)","0.682 (0.678, 0.688)","0.024 (0.019, 0.028)"
Neoplasms,phecode_136-41,Benign neoplasm of the colon,"0.683 (0.679, 0.689)","0.7 (0.695, 0.705)","0.017 (0.013, 0.021)"
Neoplasms,phecode_136-42,Benign neoplasm of rectum and anus,"0.608 (0.601, 0.614)","0.662 (0.653, 0.668)","0.054 (0.045, 0.061)"
Neoplasms,phecode_136-8,Benign neoplasm of the pancreas,"0.764 (0.734, 0.793)","0.768 (0.74, 0.806)","0.007 (-0.033, 0.041)"
Neoplasms,phecode_138,Benign neoplasm of the skin,"0.59 (0.584, 0.594)","0.658 (0.652, 0.662)","0.069 (0.062, 0.076)"
Neoplasms,phecode_138-1,"Nevus, non-neoplastic","0.659 (0.651, 0.667)","0.74 (0.732, 0.747)","0.082 (0.071, 0.091)"
Neoplasms,phecode_138-2,Melanocytic nevi*,"0.576 (0.568, 0.582)","0.703 (0.698, 0.707)","0.127 (0.119, 0.135)"
Neoplasms,phecode_139,Benign sarcoma-related cancers,"0.594 (0.589, 0.598)","0.634 (0.63, 0.638)","0.04 (0.035, 0.044)"
Neoplasms,phecode_139-1,Benign neoplams of the bone and/or cartilage,"0.587 (0.544, 0.621)","0.62 (0.584, 0.669)","0.034 (-0.002, 0.075)"
Neoplasms,phecode_139-3,Benign neoplasm of other connective and soft tissue,"0.601 (0.595, 0.604)","0.644 (0.638, 0.648)","0.044 (0.037, 0.048)"
Neoplasms,phecode_139-4,Benign neoplasm of peripheral nerves*,"0.627 (0.598, 0.651)","0.734 (0.704, 0.765)","0.107 (0.066, 0.146)"
Neoplasms,phecode_139-5,Lipoma,"0.59 (0.582, 0.607)","0.676 (0.664, 0.688)","0.086 (0.065, 0.101)"
Neoplasms,phecode_139-53,Lipoma of other skin subcutaneous tissue,"0.589 (0.556, 0.618)","0.651 (0.628, 0.678)","0.066 (0.034, 0.095)"
Neoplasms,phecode_139-6,Hemangioma and lymphangioma,"0.65 (0.643, 0.66)","0.711 (0.704, 0.719)","0.059 (0.051, 0.066)"
Neoplasms,phecode_139-61,Hemangioma,"0.651 (0.644, 0.661)","0.714 (0.707, 0.723)","0.062 (0.054, 0.068)"
Neoplasms,phecode_140,Benign neoplasm of the breast,"0.692 (0.682, 0.701)","0.73 (0.716, 0.741)","0.038 (0.019, 0.056)"
Neoplasms,phecode_142,Lump or mass in breast or nonspecific abnormal breast exam,"0.74 (0.736, 0.744)","0.707 (0.701, 0.713)","-0.033 (-0.041, -0.026)"
Neoplasms,phecode_142-1,Lump or mass in breast,"0.711 (0.706, 0.715)","0.681 (0.675, 0.688)","-0.03 (-0.037, -0.023)"
Neoplasms,phecode_142-2,Abnormal mammogram,"0.784 (0.777, 0.791)","0.797 (0.788, 0.803)","0.012 (0.002, 0.02)"
Neoplasms,phecode_142-21,Mammographic microcalcification,"0.772 (0.76, 0.787)","0.784 (0.764, 0.799)","0.01 (-0.008, 0.023)"
Neoplasms,phecode_144,Gynecological benign neoplasms,"0.547 (0.538, 0.554)","0.704 (0.693, 0.711)","0.157 (0.148, 0.163)"
Neoplasms,phecode_144-1,Benign neoplasms of external female genital organs and cervix,"0.514 (0.494, 0.533)","0.714 (0.69, 0.738)","0.2 (0.178, 0.223)"
Neoplasms,phecode_144-13,Benign neoplasms of the cervix,"0.52 (0.495, 0.542)","0.705 (0.678, 0.731)","0.186 (0.163, 0.217)"
Neoplasms,phecode_144-2,Benign neoplasms of the uterus,"0.55 (0.54, 0.557)","0.703 (0.691, 0.71)","0.153 (0.147, 0.161)"
Neoplasms,phecode_144-21,Leiomyoma of uterus,"0.55 (0.54, 0.557)","0.696 (0.685, 0.703)","0.146 (0.14, 0.152)"
Neoplasms,phecode_144-3,Benign neoplasms of the ovary,"0.558 (0.533, 0.583)","0.706 (0.668, 0.738)","0.143 (0.096, 0.201)"
Neoplasms,phecode_146,Benign neoplasm of the genitourinary system,"0.772 (0.742, 0.799)","0.781 (0.753, 0.803)","0.01 (-0.004, 0.027)"
Neoplasms,phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system","0.613 (0.602, 0.628)","0.675 (0.661, 0.693)","0.061 (0.048, 0.08)"
Neoplasms,phecode_148-1,Benign neoplasm of eye,"0.671 (0.654, 0.692)","0.719 (0.698, 0.736)","0.047 (0.025, 0.069)"
Neoplasms,phecode_148-16,Benign neoplasm of choroid,"0.683 (0.662, 0.714)","0.722 (0.696, 0.745)","0.036 (0.013, 0.062)"
Neoplasms,phecode_148-2,Benign neoplasm of meninges (Meningioma),"0.689 (0.651, 0.724)","0.725 (0.701, 0.757)","0.037 (0.008, 0.079)"
Neoplasms,phecode_148-3,Benign neoplasm of brain,"0.525 (0.507, 0.547)","0.673 (0.65, 0.705)","0.149 (0.112, 0.188)"
Neoplasms,phecode_149,Benign neoplasm of the endocrine glands,"0.577 (0.555, 0.592)","0.683 (0.657, 0.705)","0.108 (0.083, 0.134)"
Neoplasms,phecode_149-3,Benign neoplasm of the parathyroid gland,"0.653 (0.597, 0.688)","0.789 (0.741, 0.821)","0.14 (0.088, 0.194)"
Neoplasms,phecode_149-4,Benign neoplasm of the pituitary gland and craniopharyngeal duct,"0.567 (0.538, 0.605)","0.504 (0.471, 0.537)","-0.064 (-0.088, -0.047)"
Neoplasms,phecode_153,Benign neoplasm of other or unspecified sites,"0.593 (0.589, 0.597)","0.623 (0.618, 0.627)","0.03 (0.024, 0.035)"
Blood,phecode_160,Nutritional anemias,"0.55 (0.545, 0.554)","0.675 (0.668, 0.681)","0.124 (0.116, 0.131)"
Blood,phecode_160-1,Iron deficiency anemia,"0.55 (0.543, 0.554)","0.67 (0.663, 0.676)","0.121 (0.113, 0.129)"
Blood,phecode_160-2,Megaloblastic anemia,"0.634 (0.613, 0.655)","0.731 (0.712, 0.747)","0.094 (0.071, 0.116)"
Blood,phecode_160-4,Other deficiency anemia,"0.636 (0.624, 0.649)","0.738 (0.727, 0.749)","0.101 (0.086, 0.117)"
Blood,phecode_161,Hemolytic anemias,"0.545 (0.522, 0.58)","0.756 (0.731, 0.787)","0.211 (0.176, 0.243)"
Blood,phecode_161-1,Intrinsic (hereditary) hemolytic anemias,"0.545 (0.523, 0.58)","0.761 (0.733, 0.799)","0.216 (0.175, 0.252)"
Blood,phecode_161-2,Extrinsic (acquired) hemolytic anemias,"0.584 (0.53, 0.629)","0.767 (0.739, 0.808)","0.178 (0.132, 0.258)"
Blood,phecode_162,Aplastic anemia,"0.626 (0.609, 0.643)","0.788 (0.775, 0.799)","0.162 (0.143, 0.184)"
Blood,phecode_162-8,Pancytopenia,"0.625 (0.606, 0.641)","0.767 (0.753, 0.78)","0.143 (0.122, 0.163)"
Blood,phecode_164,Anemia,"0.531 (0.526, 0.536)","0.626 (0.622, 0.631)","0.096 (0.091, 0.101)"
Blood,phecode_164-1,Microcytic anemia,"0.55 (0.543, 0.554)","0.67 (0.663, 0.676)","0.121 (0.113, 0.129)"
Blood,phecode_164-2,Macrocytic anemia,"0.636 (0.624, 0.649)","0.732 (0.722, 0.744)","0.095 (0.08, 0.113)"
Blood,phecode_164-3,Acute posthemorrhagic anemia,"0.554 (0.541, 0.561)","0.683 (0.672, 0.692)","0.129 (0.119, 0.141)"
Blood,phecode_164-6,Anemia secondary to chronic diseases and conditions,"0.539 (0.531, 0.549)","0.655 (0.645, 0.663)","0.116 (0.1, 0.13)"
Blood,phecode_164-62,Anemia in neoplastic disease,"0.672 (0.653, 0.688)","0.843 (0.83, 0.856)","0.171 (0.156, 0.187)"
